"Nome Comune","Numero di abitanti","Sindaco","Nome degli abitanti","Frazioni","Codice Postale","Superficie","Numero di frazioni","Etimologia del nome","Storia","Patrono","Giorno festivo","Epoca di fondazione","Secolo di fondazione","Anno di fondazione","Numero di punti di interesse","Numero di aziende","Numero di scuole","Percorsi","Eventi","Geolocalizzazione","Immagine","Sitografia","Bibliografia"
"Aiello del Sabato",4040,"Ernesto Urciuoli","Aiellesi","Sabina, San Raffaele, Tavernola, San Felice",83020,10,4,"Il termine deriva dal latino agellus, diminutivo di ager (campo). L'aggiunta del nome ""Sabato"" è dovuta alla presenza di diversi comuni e frazioni omonimi e deriva dal fiume Sabato.","l territorio comunale si colloca in una zona collinare, ricca di vegetazione e sorgenti d'acqua, immediatamente a sudest del capoluogo, dal cui centro cittadino dista circa 4 km; in particolare, il centro storico occupa una collina di circa 440 metri d'altitudine, che domina da un lato l'intero Sistema Urbano di Avellino, di cui il comune stesso fa parte, e dall'altro l'alta valle del fiume Sabato.","San Sebastiano","20 gennaio","Antica","XI",1045,3,20,3,"Informazione assente","Mercato settimanale, Fiano Music  Festival, Carnevale, Favolarte, Nocciolandia.","40.89125606736036, 14.822508535943097","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/3ea456cf-c07c-4470-8e8f-d85303369596.jpg","Informazione assente","Lucio Fiore, Aiello: il paese, la storia, ABEdizioni, 2004.",
"Altavilla Irpina",4120,"Mario Vanni","Altavillesi","Carbocisi, Pannone, Pincera, Pontedei Santi, San Trifone, Turone, Tufara",83011,14.08,7,"Di origine normanna, la denominazione Altavilla risale al XII secolo, quando la zona divenne feudo di Luigi de Capua. Quest'ultimo scelse questo nome in ricordo di ""Hauteville"" di Normandia. Il termine ""Irpina"" è identificativo della zona ed è legato ad Irpinia, terra così chiamata forse per la divinizzazione dei lupi (dal termine italico hirpus).","Le prime evidenze storiche risalgono invece al castello, denominato di Altacauda, che in epoca longobarda esisteva nell'attuale territorio comunale. Si arrivò poi, dopo alterne vicende, nel XII secolo alla dominazione dei Normanni. Successivamente il feudo contenente tale nucleo abitato passò alla famiglia De Capua e solo allora si giunse al nome di Altavilla per mezzo del quale Luigi De Capua così ricordava il proprio casato nonché la sua provenienza dall'omonima città in Normandia","San Bernardino da Siena","20 maggio","Medievale","VI - VII","Informazione assente",11,49,3,"Informazione assente","Palio dell'anguria, Festa di San Pellegrino Martire","41.00605138990985, 14.777436441682676","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/c678dde9-72aa-4f67-9b01-a57c10f4b5f2.jpg","Altavilla Irpina,monografia storica,Michele Severini.","",
"Andretta",1901,"Giuseppe Guglielmo","Andrettesi","Mattinella",83040,44.05,1,"L'etimologia si collega con i cognomi Andretta, Andrietta o Andrietti che derivano a loro volta dal nome greco Andrea. Secondo altri invece il nome deriverebbe dal greco andreia, ανδρεία, ossia fermezza, fortezza.","Il primo nucleo dell’odierno abitato fu edificato probabilmente durante la guerra greco-gotica (VI secolo d.C.), intorno a una fortezza normanna; il feudo è citato tuttavia per la prima volta in alcune fonti documentarie del 1124, anno in cui era compreso tra i possedimenti di Roberto de Andrecta. Passò successivamente sotto il dominio di diversi signori locali, quali Aleramo, Fromondo I e Fromondo II Folleville. Ceduta in epoca angioina a Rinaldo de Poncels (1280), fu venduta nei secoli successivi agli Zurlo, ai Caracciolo (XVI secolo) e agli Imperiale, che la amministrarono fino all’eversione della feudalità (1806). Il toponimo, menzionato nelle RATIONES DECIMARUM della Campania (1308-1310), è di probabile origine antroponimica. Tra i ritrovamenti archeologici figurano materiali architettonici, lapidei e laterizi di una villa rustica di epoca tardo-imperiale. La parrocchiale di Santa Maria Assunta, ampliata nel XVIII secolo con la costruzione di tre navate barocche, custodisce un coro ligneo, opera di artigiani campani, e vari dipinti a olio della scuola di Luca Giordano (XVIII secolo); la adornano all’esterno un portale architravato, posto al centro della facciata a capanna, e un imponente campanile, eretto probabilmente sui resti di una fortezza medievale.","Sant'Antonio di Padova","5 settembre","Medievale","XII",1124,11,16,3,"Informazione assente","Festa della Mattinella. Festa dell'Incoronatella. Fiera dell'Immacolata.","40.939563, 15.326087","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/504e11f7-5d1f-4132-b6f1-d11fde03172b.jpg","Wikipedia.it","",
"Aquilonia",1617,"Giancarlo De Vito","Aquiloniesi","Informazione assente",83041,56.15,"Informazione assente","Informazione assente","Il territorio di Aquilonia doveva essere coperto di vasti e folti boschi, oggi scomparsi a causa dello sfruttamento agricolo del suolo. La conferma da un lato, è etimologica, derivando il nome del paese dal latino, col significato di ""bruna, oscura"", in riferimento ai boschi scomparsi, dall'altro, è economica, visto che lo sfruttamento del legno dei boschi per la produzione del carbone aveva fatto chiamare il paese ""Carbonara"".","San Vito Martire","","Antica","V - IV a.C.","Informazione assente",13,29,3,"Informazione assente","Castelli d'Irpinia, Festa di San Vito Martire, Sagra della Varola, Festa di Sant'Alessadro, La Festa dello Spirito Santo.","40.987877, 15.475752","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/36b0fe3e-88f3-4168-9769-60217ceb7f79.jpg","Irpiniainfo.it","",
"Ariano Irpino",22572,"Enrico Franza","Arianesi","Non ha frazioni",83031,186.7,0,"L'etimologia del nome Ariano Irpino deriva da AB ARA IANI, ovvero da un sacello edificato in onore di Giano. Il comune di Ariano Irpino non presenta frazioni bensì un gran numero di contrade.","Di origine romana è il borgo di Aequum Tuticum, sorto sull'altopiano si Sant'Eleuterio a non molta distanza dal primitivo insediamento de La Starza. Benché la seconda parte del nome sia costituita dal termine pre-latino, il centro si sviluppa in correlazione a due antiche strade consolari romane, la via Aemilia e la via Minucia, entrambe diramazioni della via Appia. Il vicus è citato per la prima volta nel 50 a.c. da Cicerone che, in una sua missiva a Tito Pomponio Attico, scrive proprio da Aequum Tuticum definendolo un punto di sosta lungo la direttrice per l'Apulia. Il periodo di massimo splendore giunge però in epoca imperiale quando il centro diventa anche il punto d'incrocio fra la via Traiana e la via Herculea.","Sant' Ottone Frangipane","23 marzo","Antica","X a.C.","900 a.C.",60,266,52,"Ariano Macchia Cupa, Giro turistico Ariano montaguto.","Riti del Venerdì Santo e Rievocazione delle Sante Spine, Carnevale Arianese, Estate Arianese e Ariano Music Festival, Festa patronale, Fiere, Mercato.","41.15318735809376, 15.088857668939156","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/47d536f7-0c87-4069-bbea-427d46f8c244.jpg","Wikipedia.it","",
"Atripalda",10998,"Giuseppe Spagnuolo","Atripaldesi","Alvanite,Sabina,San Vincenzo,Arcella",83042,8.59,4,"il nome e la tradizione dicono che il paese è di origine longobarda e si crede sia stato fondato intorno al XI. Il luogo dove sorge era già precedentemente abitato con il nome di Abellinum e ciò lo possiamo dedurre dai numerosi avanzi presenti nel comune. Dalle rovine si costruì gradualmente il paese che ha come più grande ricchezza il fiume Sabato.","Di tale paese, derivato dall'aggregazione di Casali divisi per lungo tempo, si ebbe menzione per la prima volta in un documento del 1078, quando le milizie di Roberto il Guiscardo rasero al suolo il suo castello.","San Sabino","9 febbraio, 16 luglio","Medievale","XX",1979,10,108,6,"Linea verde, Valle del fiume Sabato, Atripalda Taurasi Passo Serra.","Mostra Nazionale i Scultura Contemporanea, Mostra ceramica e legno, Fiera in onore di San Marco, Giullarte.","40.91721982594356, 14.830572217133266","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/350a5f76-29ae-4e3e-b6ff-1eab24d7c59f.jpg","Wikipedia.it","",
"Avella",7831,"Domenico Biancardi","Avellani","Purgatorio",83021,29.39,1,"il nome del comune deriva etimologicamente da Abella, il cui abitato coincideva in parte all'età sannitica e romana.","L'antica Abella, il cui abitato in parte coincideva in età sannitica e romana con il più orientale dei due nuclei dell'attuale centro storico, era di rilievo, fra i centri medio-piccoli della Campania antica, anche se superata in importanza e grandezza dalla vicina Nola. Si trova sulla via che collegava e collega tuttora la pianura Campana con la valle del Sabato e il Sannio Irpino, strada meno agevole della Via Appia; la posizione e la coltivazione della pregiata nux Abellana costituivano una risorsa economica, alla quale si aggiungevano lo sfruttamento dei boschi e l'allevamento nelle zone più alte. l'unico avvenimento storico di un certo rilievo di cui si sappia da fonti scritte è la fedeltà a Roma durante la guerra sociale che fu punita nell'87 a.c. con la distruzione da parte dei sanniti che ancora occupavano Nola.","San Sebastiano","20 gennaio","Antica","IV a.C.","339 a.c.",50,107,6,"Partenio Trekking, Acqua Sambuco sentiero alto.","Fiera dell’Immacolata   8 Dicembre.","40.958787819998605, 14.598851954609033","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/161a1991-f887-4510-a262-eb6d3d38581c.jpg","Wikipedia.it","",
"Avellino",54561,"Gianluca Festa","Avellinesi","Bellizzi irpino, Bosco dei Preti, Contrada Bagnoli,Pianodardine, Picarelli,Tavernola San Felice",83100,30.55,6,"è stata fondata dagli Irpini, il nucleo originale della città, Abellinum si formò sulla collina della Civita, dove sono stati trovati numerosi reperti archeologici. Secondo alcune ricerche la città era al centro dei territori dei Sabatini, popolo sabello documentato da Tito Livio. Fu conquistata dai romani he la sottrassero al dominio degli Irpini durante la battaglia di Aquilonia, durante le guerre sannitiche.","Tra i vari feudatari che si sono succeduti nel possesso di Aquilonia ricordiamo i Cotigni, i Del Balzo, i Caracciolo e gli Imperiale di S. Angelo dei Lombardi.","San Modestino, San Fiorentino e San Flaviano","14 febbraio","Antica","I a.C.","82 a.c.",81,188,110,"Area pic nic fiume Sabato, Grotta Profunnata, Fontana Mafariello.","Mercato settimanale  ogni domenica.","40.91800963711942, 14.786731772710974","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/bf0a3efe-d46c-402a-80df-036913cd13b2.jpg","Wikipedia.it","",
"Bagnoli Irpino",3160,"Teresa Anna Di Capua","Bagnolesi","Laceno",83043,69.21,1,"Deriva dal latino Balneolum o Baniolum da cui ""Bagnolo"" in riferimento dal lago Laceno situato nei pressi o da altre fonti d'acqua. La specifica IRPINO è sicuramente successiva e aggiunta per distinguere bagnoli dagli altri comuni.","Il comune fa parte della regione storica del Sannio Irpino, da quando i Sanniti Hirpini giunsero alle sorgenti del Calore sotto la guida dell'hirpinus. Con la conquista del Sannio da parte dei romani e il suo smembramento, il paese rinacque sotto il dominio dei Longobardi e del loro castello intorno all'anno 870. L'arrivo dei Normanni, intorno all'anno 1000, servì a ricomporre il paese, unendo tutti i suoi casali. Nel 1450 la venuta dei Cavaniglia, che comperarono la contea di Montella, diede nuovo impulso al paese non solo nell'artigianato ma anche nelle arti.","San Lorenzo","10 agosto","Medievale","IX","Informazione assente",28,200,5,"Colle Molella Bagnoli Irpino.","Sagra della castagna e del tartufo, Festeggiamenti in onore di Maria Santissima Immacolata, Sagra del pecorino bagnolese, della ricotta e dei formaggi, Festeggiamenti in onore di San Lorenzo.","40.83149861486653, 15.070149784866256","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/fa364c13-c35b-44c3-96f3-d076f45402a4.jpg","Wikipedia.it","",
"Baiano",4751,"Enrico Montanaro","Baianesi","Non ha frazioni",83022,12.25,0,"Deriva dal nome latino di persona Bius a cui si aggiunge il suffisso -anus che indica appartenenza, oppure dal nome latino di persona Badius, con la trasformazione avvenuta con il tempo di ""di"" in ""i"", sempre con l'aggiunta del suffisso -anus. Un'altra ipotesi ritiene che derivi da Praedium Vallejanum, ossia Villa di Valleo, confermata dal fatto che sullo stemma civico è raffigurata la lettera ""V"".","Il nome potrebbe derivare da una proprietà di epoca romana, praedium Badianum (""podere di Badio""), legato al vicino centro di Abella (oggi Avella). In epoca romana il territorio era stato assegnato alla tribù Galeria.Fece in seguito parte del longobardo ducato di Benevento e del normanno principato di Salerno ed è ricordato nel 1129 come casale di Avella, mentre nel 1210 era tassato separatamente. In seguito fu feudo degli Orsini e quindi fece parte della baronia di Avella. Alla fine del Seicento recuperò la propria autonomia.Nel 1715 divenne comune autonomo con il nome di Bajano (nome che mantenne fino ai primi del Novecento) e fece parte in passato della provincia di Terra di Lavoro, mandamento di Bajano (di cui facevano parte anche Avella, Mugnano del Cardinale, Quadrelle, Sirignano e Sperone). Con l'unità d'Italia fu assegnata alla provincia di Avellino.","Santo Stefano Protomartire","3 agosto","Antica","XVIII",1715,7,87,3,"Informazione assente","Festeggiamento carnevale, Serate di estate,Il Maio Sparato,","40.95275916889386, 14.617098437101854","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/a04d821c-21e5-4110-ae23-894c751f1153.jpg","www.irpinia.info","",
