Nome Comune,Numero di abitanti,Sindaco,Nome degli abitanti,Frazioni,Codice Postale,Superficie,Numero di frazioni,Etimologia del nome,Storia,Patrono,Epoca di fondazione,Anno di fondazione,Secolo di fondazione,Numero di punti di interesse,Numero di aziende,Numero di scuole,Percorsi,Eventi,Immagine,Sitografia,Giorno festivo month,Giorno festivo day,GeolocalizzazioneLattitude,GeolocalizzazioneLongitude
Acerno,2768,Massimiliano Cuozzo,Acernesi,Casone del Gaudio,84042,72.5,1,Al di là delle spiegazioni dotte ed erudite l'etimologia più sicura è quella che fa derivare Acerno da una pianta – l'acero – che in quelle montagne alligna con facilità,"Acerno è stata sede vescovile sin dall'XI secolo. La diocesi era tra le più povere e piccole del Regno di Napoli, comprendendo oltre ad Acerno il solo territorio di Montecorvino Rovella. Pertanto, Papa Pio VII, con Bolla del 27/06/1818, assegna alla diocesi di Salerno l'amministrazione della Chiesa Vescovile di Acerno.",San Donato d'Arezzo,Medievale,1027.0,XI,6.0,243.0,5.0,Mountain bike. Escursionismo. Trail running. Passeggiata,Festa della montagna. Sagra della castagna. La festa di San Donado. Festa della fragolata.,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/66d5d656-cfeb-4283-97a3-5403ca4b61ee.jpg,https://it.m.wikipedia.org/wiki/Acerno,Agosto,7,40.73829,15.059341
Agropoli,21607,Adamo Coppola,Agropolesi,"Campanina, Cannetiello, Fonte Saraceno, Frascinelle, Iscalonga, Mancone, Marettima, Marrota, Mattine, Muoio, Palombe, Picone, Principe, San Biagio, Santa Maria, Serpi, Serra, Stazione Ogliastro, Streppina, Torre",84043,32.61,20,"In passato era chiamata Acropoli, dal latino acropolis, a sua volta risalente dal greco akropolis, con il significato di ""città alta"", in riferimento alla sua posizione geografica. Con il tempo divenne Agropoli perché forse il nome fu contaminato dal latino ager (campo).","Agropoli deriva il proprio nome dalla posizione geografica, una “città alta” su un promontorio a picco sul mare. Secondo alcuni archeologi potrebbe essere l'antica acropoli di Paestum,difatti si ipotizza la presenza di un tempio dedicato a Poseidone. In età romana sul litorale dell'attuale S.",Santi Pietro e Paolo,Medievale,1436.0,XV,,,24.0,"Mountain bike, escursionismo, bici da strada, corsa, trail running, ciclismo, kayak.",Festa patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/d8a8b26e-f1ee-4907-9736-57382f53129c.webp,https://it.m.wikipedia.org/wiki/Agropoli,Giugno,29,40.350425694151205,14.990632686592559
Albanella,6397,Rosolino Bagini,Albanellesi,"Borgo San Cesareo, Bosco, Cerrina, Forestelle, Matinella, San Chirico, San Nicola, Tempa delle Guardie",84044,40.23,8,"albanèlla s. f. [prob. der. del lat. mediev. albanus «uccello da preda», che a sua volta è prob. un der. del lat. albus «bianco»]. – Nome di alcuni uccelli del genere Circus, che abitano i luoghi paludosi, cibandosi di piccoli mammiferi e uccelli. In Italia vivono quattro specie, di cui la più comune è l’a. mezzana, o falco di palude (Circus aeruginosus), con piumaggio di colore molto variabile; più rare l’a. pallida (Circus macrourus), l’a. reale (Circus cyaneus) e l’a. minore (Circus pygargus).","Le origini di Albanella si fanno risalire al IX secolo d.C. allorché alcuni profughi di Paestum, in seguito alle incursioni saracene, cercarono, risalendo le colline, insediamenti più sicuri.","Santa Sofia, San Matteo",Medievale,1100.0,XI,18.0,410.0,10.0,"Mountain bike, escursionismo, bici da strada, corsa, trail running, ciclismo, kayak","Festa comunale, sagre",,https://it.m.wikipedia.org/wiki/Albanella_(Italia),Maggio,15,40.484822633272316,15.11680144537662
Alfano,978,Elena Anna Gerardo,Alfanesi,,84040,4.82,0,"Il nome deriverebbe dal gentilizio Alfius. Probabilmente è collegato col toponimo Alfeiòs, Αλφειός in greco antico.","Di origine medievale, è documentato per la prima volta nel 1309. Dopo essere stato feudo dei Sanseverino e in seguito proprietà del demanio regio, nel 1427 venne assegnato come baronia a Cirello Dal Verme, nel 1496 fu assegnato al conte Giovanni Carafa, ma torno ai Dal Verme. Nel 1561 Muzio Dal Verme denunziò la morte del padre che aveva Alfano in feudo. Nel 1566 G. Battista Carrofa, conte di Policastro, rinunziò alla lite mossa contro di lui da Muzio Del Verme, circa la giurisdizione di Alfano che venne confermata ai Dal Verme. Nel 1588 Alfano fu acquistata da Paolo Brancaccio. Dal 1619 il feudo passò ai Bernalla che lo possedettero quasi ininterrottamente fino al XVIII secolo.[3]","San Nicola, Sant'Antonio",Medievale,1309.0,XIV,6.0,50.0,3.0,,Festa comunale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/246d6580-b61e-4c21-aafd-726420a5e7fc.jpg,https://it.m.wikipedia.org/wiki/Alfanohttps://it.m.wikipedia.org/wiki/Acerno,Dicembre,6,40.18386859343606,15.426559209646149
Altavilla Silentina,7094,Antonio Marra,Altavillesi,"Borgo Carillia, Cerrelli, Scalareta, Cerrocupo",84045,52.0,4,Il toponimo è rievocato dal nome della frazione Borgo Carillia,"Avendo preso parte alla congiura dei baroni contro Federico II di Svevia, la città fu rasa al suolo nel 1246. La breccia nelle mura fu aperta in una località ancora nota al giorno d'oggi come ""muro rutto"", situato in via Portanova.",Sant'Egidio abate,Medievale,1080.0,XI,,5.0,5.0,,Festa patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/c40604e4-2283-4eed-bb08-f49e04cf9959.jpg,https://it.wikipedia.org/wiki/Altavilla_Silentina,Settembre,1,40.554929085415594,15.123244703051324
Amalfi,5088,Daniele Milano,Amalfitani,"Pogerola, Lone, Pastena",84011,5.0,3,"Il luogo prende il nome dalla ninfa Amalfi, amata da Ercole, sepolta in questa terra per volontà degli dei","La leggenda narra che Amalfi fosse una fanciulla amata da Ercole, poi sepolta in questi luoghi per volere degli Dei. I Romani vi si rifugiarono con molta probabilità a causa delle invasioni germaniche e longobarde, e la cittadina venne utilizzata come roccaforte difensiva del Ducato bizantino di Napoli.",Sant'Andrea,Romana,,I,5.0,15.0,3.0,,"Il Capodanno Bizantino, Giornata dell'Unità e delle Forze Armate",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/0741c24c-b5f2-4c21-9a32-9b3f845d34e9.jpg,https://www.tripadvisor.it/Attractions-g187780-Activities-c47-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,Giugno,27,40.649256444083726,14.604027204556603
Angri,37023,Cosimo Ferraioli,Angresi,,84012,14.0,0,"Significato del toponimo Angri, ha origine dalle caratteristiche ""geomorfiche"" del sito. Il nome deriverebbe dal latino tardo Angra, che significa acqua appantanata.","Angri cominciò a svilupparsi nel secolo VII d.C.come Casale della Contea di Nocera; in seguito crescendo la sua consistenza territoriale ed economica, fu dato in feudo ai vari signori",San Giovanni,Medievale,,VII,5.0,40.0,8.0,,Festa patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/3977bd3f-4037-4916-9a20-d592d38703f6.jpg,https://it.wikipedia.org/wiki/Angri,Giugno,24,40.787108593626584,14.587832430018217
Aquara,1418,Antonio Marino,Aquaresi,Mainardi,84020,32.73,1,"Il suo nome deriverebbe dall'abbondanza di acqua del suo territorio, caratteristica riportata anche sullo stemma del comune","Aquara ha origini che risalgono all'epoca greca, precisamente intorno agli anni fra il 150 e il 132 a.C. Non si esclude che il territorio di Aquara fosse già conosciuto dai Greci di Poseidonia e dai Romani.",San Lucio di Aquara,Romana,150.0,II,,,3.0,Percorsi di corsa-percorsi di camminata,Festa di San Lucido,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/f9528654-d687-44d6-91ed-70cd37c70191.jpg,https://it.wikipedia.org/wiki/Aquara,Luglio,28,40.45642517737841,15.249688616294907
Ascea,5867,Pietro D'Angiolillo,Asceoti,"Marina, Stanpella, Mandia, Catona, Bosco, Terradura, Salice, Piolo, Vreccia, Piano della Torre, Santa Sofia, Scrifo, Pennino, Casaline, Santa Maria, Enotria, Baia Tirrena",84046,37.0,17,"L'origine del nome di questa cittadina è ricco di poesia; pare che Ascea derivi dal greco a-skaidon, ovvero luogo privo di ombre, ricco di luce","Abitata fin dal Neolitico l'antica città greca di Elea era una colonia greca dei Focei, fondata nel 540 a. C., per sfuggire al dominio persiano; inoltre il popolo autoctono che abitava quei luoghi, gli Enotri, coltivatori della vite, trovò molte affinità con i nuovi venuti e su quella fratellanza sorta spontaneamente crebbe lo spirito del popolo che ancora oggi abita la nuova Elea.",San Nicola di Bari,Medievale,1277.0,XIII,5.0,10.0,1.0,,Festa patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/2384c6f0-a13f-4d3e-84a6-694ee2985b94.gif,https://it.wikipedia.org/wiki/Ascea,Dicembre,6,40.161744302109156,15.180993106161754
Atena Lucana,2374,Luigi Vertucci,"Atinati, atenesi","Atena Lucana Scalo, San Giuseppe, Serrone",84030,25.0,3,"Il nome pare derivare da un pre-latino *ater-, nero, forse dal fiume che scorreva nella città, analogamente ad altri centri italici quali Aterno, Atri, Atessa, eccetera","È uno tra gli insediamenti più antichi del Vallo di Diano situato sul suo versante occidentale, a ridosso della catena della Maddalena. La sua posizione predominante nella vallata ne fa uno dei centri panoramici di maggior interesse del luogo.",San Biagio di Sebaste,Medievale,700.0,VIII,5.0,51.0,6.0,,Festa San Giuseppe,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/722608ee-8248-483e-bc76-b98a088df8f7.jpg,https://it.wikipedia.org/wiki/Atena_Lucana,Febbraio,3,40.497498660072985,15.548542063111286
