commune_id,frazioni
0,Sabina
0,San raffaele
0,Tavernola
0,San felice
1,Carbocisi
1,Pannone
1,Pincera
1,Pontedei santi
1,San trifone
1,Turone
1,Tufara
2,Mattinella
3,
4,
5,Alvanite
5,Sabina
5,San vincenzo
5,Arcella
6,Purgatorio
7,Bellizzi irpino
7,Bosco dei preti
7,Contrada bagnoli
7,Pianodardine
7,Picarelli
7,Tavernola san felice
8,Laceno
9,
10,Calaggio
10,Macchitella
10,Calli
10,Oscata
10,Pedurza
10,Piano regolatore
11,Beatrice
11,Beatrice i
11,Cinquegrana
11,Cinquegrana prima
11,Grieci
11,Grieci primo
11,Grieci secondo
11,Maleprandi primo
11,Maleprandi secondo
11,Masiello tordiglione
11,Masiello tordiglione primo
11,Masiello tordiglione secondo
11,Morroni
12,
13,Quaglietta
14,Calitri scalo
15,
16,Materdomini
17,Breccelle i
17,Breccelle ii
17,Casale
17,Marzano
17,Pozzo del sale
17,San felice
17,Spinielli
17,Cioppolo
18,Ariacchino
18,Ciaruolo
18,Piano lagnetta
18,San martino
18,Santo leo
18,Serra di fusco
18,Fiumara
19,Cupa
19,Cupazzo
19,Frascino
19,Mainardi
19,Pagliarone
19,San ferro
19,Sant'elia
19,Schiavonesca e todino
20,
21,Acquachiusa
21,Case sparse
21,Piani
21,Russo
22,Baiano
22,Bocchino
22,La sala
22,Perillo primo
22,Perillo secondo
22,Sant'eustachio
22,Torre
22,Valle
22,Vallicelli
23,Campoloprisi
23,Cipollara
23,Santa lucia
23,Tremauriello
23,Vioni
24,Castello
24,Curielli
24,Ferrari
24,Loffredo
24,Pantanari
24,Pirozza
24,Salomoni
24,San marciano
24,San potito
24,Scalamoni
24,Trescine
24,Valle
25,Villa san nicola
26,Chianche scalo
26,Chianchetelle
26,San pietro irpino
27,
28,Castello
28,Varosano
28,Rione ospedale
29,
30,Casamanzi
30,Casola
31,Pila ai piani
31,Pagliara
31,Fontana madonna
32,
33,Castello
33,Celzi
33,Petruro
34,Pila ai piani
34,Pagliara
34,Fontana madonna
35,Piano della croce
35,Torre dei monaci
36,
37,Bosco sant'elia
37,Carpignano
37,Ciavolone
37,Conduttiello
37,Feudo cortesano
37,Filette
37,Ischia cardone
37,Marmo
37,San martino
37,San pietro
37,Schivito
37,Tremolizzi
38,Pozzo del sale
38,Spinelli
38,Taverna del monaco
38,Tropeani
39,Carmasciano
39,Fiumara
39,Forche
39,Fossi
39,Frassino
39,Lagoni
39,Lazzare
39,Melio
39,Papaloia
39,Paschi
39,Piani
39,Piano d'occhio
39,Pietri
39,Santa maria dei manganelli
