commune_id,numero_di_abitanti,sindaco
0,4040,Ernesto Urciuoli
1,4120,Mario Vanni
2,1901,Giuseppe Guglielmo
3,1617,Giancarlo De Vito
4,22572,Enrico Franza
5,10998,Giuseppe Spagnuolo
6,7831,Domenico Biancardi
7,54561,Gianluca Festa
8,3160,Teresa Anna Di Capua
9,4751,Enrico Montanaro
10,3811,Marcello Arminio
11,2600,Giuseppe de Pasquale
12,442,Luigi d'Angelis
13,2900,Gelsomino Centanni
14,4457,Michele Di Maio
15,1121,Fausto Picone
16,3371,Lorenzo Melillo
17,2404,Nunziante Picariello
18,1381,Antonio Manzi
19,1754,Raffaele Fabiano
20,964,Salvatore Vecchia
21,1096,Felice Martone
22,1927,Generoso Cresta
23,1700,Generoso Moccia
24,9321,Caterina Lengua
25,2594,Dario Fiore
26,459,Grillo Carlo
27,2201,Carmine de Angelis
28,3051,Pasquale De Santis
29,1351,Luigi Ciccone
30,1838,Antonio Corbisiero
31,2856,Angelo Antonio Lanza
32,2968,Giuseppe Pescatore
33,5357,Antonio Olivieri
34,3731,Carmine Ciullo
35,3483,Edgardo Pesiri
36,630,Francesco Addeo
37,7921,Angelo Cobino
38,1900,Antonio Spiniello
39,2000,Antonio Gentile
40,3000,Antonio Di Conza
41,1491,Maria Teresa Lepore
42,3441,Antonio Bossone
43,6141,Yuri Gioino
44,1127,Carmine Ferrante
45,3198,Lucio Pasquale Tirone
46,1696,Francesco Addeo
47,1927,Michele Spinazzola.
48,12180,Vittorio D'Alessio
49,7492,Giancarlo Ruggiero
50,373,Marcello Zecchino
51,3475,Mirko Iorillo
52,13454,Maria Antonietta Belli
53,11780,Costantino Giordano
54,2263,Valentino Tropeano
55,1322,Gaetano Zaccaria
56,7744,Ferruccio Capone
57,2853,Beniamino Palmieri
58,5288,Massimiliano Minichiello
59,740,Francesco Ricciardi
60,19568,Girolamo Giaquinto
61,1197,Vincenzo di Sabato
62,1664,Claudio Rosario Addeo
63,5283,Alessandro Napolitano
64,4148,Ciriaco De Mita
65,2123,Antonio Saggese
66,1798,Antonio Mercogliano
67,661,Antonio Ferullo
68,2377,Salvatore Cogliano
69,289,Giuseppe Lombardi
70,2326,Giulio Belmonte
71,1526,Amato Rizzo
72,2995,Petruzziello Bruno Francesco
73,3863,Emanuele Aufiero
74,1678,Simone Rozza
75,1936,Eduardo Rubinaccio
76,843,Guido Cipriano
77,2352,Roberto del Grosso
78,3424,Russo Antonio
79,751,Luigi Cella
80,1157,Teodoro Boccuzzi
81,4851,Pasquale Pisano
82,2497,Michele Boccia
83,765,Giuseppe Moriello
84,1571,Pasquale Nazzaro
85,1610,Giovanni Contardi
86,1461,Avv. Gerardo D'Angola
87,736,Carmine De Fazio
88,782,Attilio Iannuzzo
89,4035,Marco Marandino
90,1404,Ottaviano Vistocco
91,1218,Rino Ricciardelli
92,2186,Francesco Urciuoli
93,1139,Fabio Della Marra Scarpone
94,1172,Antonio Consalvo
95,772,Beniamino grillo
96,6943,Vito Pelosi
97,2822,Raffaele Colucci
98,12410,Michele Vignola
99,587,Maria Teresa Fontanella
100,3771,Marco Santo Alaia
101,3014,Vito di Leo
102,1538,Pasquale Giuditta
103,1505,Salvatore Maffettone
104,2296,Antonio Tranfaglia
105,1476,Stefano Farina
106,2051,Amado Delli Gatti
107,1247,Antonio Cardillo
108,530,Annamaria Oliviero
109,919,Nicolino Rossi
110,844,Nunzio Donnarumma
111,2670,Giuseppe Leone
112,1352,Francesco Pagliarulo
113,2504,Luigi De Nisco
114,963,Stefania Di Cicilia
115,1592,Franco Roberto
116,3256,Marino Sarno
117,1057,Paolo Caruso
