commune_id,numero_di_aziende,numero_di_scuole
0,20.0,3.0
1,49.0,3.0
2,16.0,3.0
3,29.0,3.0
4,266.0,52.0
5,108.0,6.0
6,107.0,6.0
7,188.0,110.0
8,200.0,5.0
9,87.0,3.0
10,63.0,7.0
11,34.0,3.0
12,14.0,0.0
13,31.0,1.0
14,50.0,6.0
15,31.0,9.0
16,50.0,7.0
17,8.0,2.0
18,5.0,3.0
19,51.0,3.0
20,50.0,1.0
21,35.0,4.0
22,150.0,3.0
23,40.0,3.0
24,31.0,16.0
25,26.0,2.0
26,1.0,
27,4.0,4.0
28,7.0,3.0
29,54.0,5.0
30,48.0,11.0
31,7.0,4.0
32,8.0,4.0
33,22.0,8.0
34,46.0,10.0
35,13.0,9.0
36,23.0,9.0
37,19.0,12.0
38,4.0,3.0
39,20.0,9.0
40,50.0,7.0
41,14.0,4.0
42,21.0,5.0
43,19.0,5.0
44,17.0,2.0
45,9.0,3.0
46,13.0,4.0
47,18.0,9.0
48,32.0,9.0
49,30.0,16.0
50,24.0,9.0
51,8.0,9.0
52,50.0,3.0
53,6.0,10.0
54,40.0,3.0
55,4.0,4.0
56,30.0,3.0
57,40.0,
58,,
59,,
60,,
61,,
62,38.0,9.0
63,50.0,10.0
64,12.0,6.0
65,50.0,3.0
66,5.0,5.0
67,19.0,2.0
68,51.0,4.0
69,8.0,1.0
70,13.0,4.0
71,6.0,3.0
72,8.0,3.0
73,12.0,5.0
74,20.0,2.0
75,25.0,3.0
76,17.0,3.0
77,29.0,4.0
78,30.0,6.0
79,14.0,1.0
80,15.0,3.0
81,4.0,2.0
82,4.0,2.0
83,10.0,3.0
84,,
85,,
86,3.0,3.0
87,10.0,2.0
88,50.0,1.0
89,30.0,3.0
90,5.0,2.0
91,38.0,9.0
92,45.0,11.0
93,,10.0
94,,9.0
95,20.0,9.0
96,40.0,9.0
97,50.0,2.0
98,50.0,18.0
99,42.0,0.0
100,24.0,3.0
101,2.0,3.0
102,30.0,1.0
103,42.0,3.0
104,34.0,4.0
105,21.0,2.0
106,49.0,3.0
107,50.0,3.0
108,18.0,2.0
109,1.0,3.0
110,22.0,2.0
111,50.0,7.0
112,50.0,4.0
113,18.0,4.0
114,43.0,3.0
115,50.0,4.0
116,50.0,3.0
117,18.0,3.0
