commune_id,event
0,Mercato settimanale
0,Fiano music  festival
0,Carnevale
0,Favolarte
0,Nocciolandia
1,Palio dell'anguria
1,Festa di san pellegrino martire
2,Festa della mattinella. festa dell'incoronatella. fiera dell'immacolata
3,Castelli d'irpinia
3,Festa di san vito martire
3,Sagra della varola
3,Festa di sant'alessadro
3,La festa dello spirito santo
4,Riti del venerdì santo e rievocazione delle sante spine
4,Carnevale arianese
4,Estate arianese e ariano music festival
4,Festa patronale
4,Fiere
4,Mercato
5,Mostra nazionale i scultura contemporanea
5,Mostra ceramica e legno
5,Fiera in onore di san marco
5,Giullarte
6,Fiera dell’immacolata   8 dicembre
7,Mercato settimanale  ogni domenica
8,Sagra della castagna e del tartufo
8,Festeggiamenti in onore di maria santissima immacolata
8,Sagra del pecorino bagnolese
8,Della ricotta e dei formaggi
8,Festeggiamenti in onore di san lorenzo
9,Festeggiamento carnevale
9,Serate di estate
9,Il maio sparato
9,
10,Nessun evento
11,Numerose feste religiose
12,Mercatini di natale
12,Sagre e fiere
13,Mercato settimanale
13,Sagra della castagna
14,La processione del venerdì santo
14,La festa di santa maria dei santi
14,La fiera agri ofanto
14,La processione del corpus domini
14,La processione di s. antonio
14,La festa di s. vito
14,La festa di maria vergine
14,La processione a calitri scalo
14,La festa di s. lucia e s. canio
14,La festa dell'immacolata concezione
14,La fiera interregionale
14,La festa dell'emigrante
14,La festa e fiera del s. rosario
14,La sagra della scarpegghia
15,La festa di maria ss. del buon consiglio ed a s. antonio
16,Il ferragosto caposelese
16,La sagra dei fusilli
16,La corsa dei tre campanili
16,La festa s. gerardo\sorgenti del sele
16,La fiera di s. gerardo
16,La benedizione delle sementi
17,La via crucis
17,La festa di s. felice
17,La festa del corpus domini
17,La sagra dello gnocco e della jonda
17,Il presepe vivente
18,Il carnevale carifano
18,La via crucis
18,La fiera del bestiame
18,"La sfilata dei ""mezzetti"
19,Fiere quali quelle di san michele arcangelo (8-15 maggio) e quella di s. maria dei bossi (prima domenica settembre)
20,La sagra delle laine e dei ceci
20,La festa della madonna del carmine (16 luglio)
20,"La festa ""ritorno al medioevo"" (agosto)"
20,La fiera di montevergine
20,La sagra della castagna docg e igp di montella (ultimo sabato di ottobre)
21,La festa della candelora
21,Che prevede l'accensione di un grande falò (2 febbraio)
21,Il falò di s. giuseppe (19 marzo)
21,La festa di s. antonio (13 giugno)
21,La festa e fiera di s. anna (26 luglio). il mercato si tiene il venerdì
22,I festeggiamenti in onore di s. maria del soccorso (prima domenica di maggio)
22,L'importante fiera del bestiame (sabato che precede la prima domenica di agosto)
22,La fiera di s. rocco (primo sabato di agosto)
22,"La sagra del ""cecatiello"" (prima decade di agosto)"
22,Il wine festival
22,La notte dei fuochi
23,La festa di sant'antuono con falò e tavolate gastronomiche
23,Il carnevale castelveterese
23,La festa della madonna delle grazie
23,"La sagra della maccaronara e la festa del ""pane miracoloso"
24,Bacio del bambino
24,Quadriglia
24,Via crucis vivente
24,Giornata dei bambini
24,Nottelonga
24,Cervinarte
24,Rockjam festival gruppi emergenti
24,Sagra della castagna
24,Questa e' la mia terra
24,Presepe vivente
24,A marunella
25,
26,Festa di s. felice martire
26,Via crucis vivente
26,Sagra dell'asparago
26,Festa della madonna della pietà
26,Festa della madonna delle grazie
26,Chianchestate
26,"Sagra del ""cicatiello"
26,Sagra della castagna
26,Nataleinsieme
27,Festa di san nicola
27,Festa del maio
27,Festa di san nicola di bari
28,La sagra del castagno e del nocciolo
28,La celebrazione dei caduti (4 novembre)
28,Il premio letterario faliesi
28,Mercato settimanale
28,"Sagra ""a' risacca sott' o piesc"
28,La sagra del boscaiolo
28,Circus in borgo
29,Festa delle maggiaiole
29,Festa di s.eriberto
29,Sagra del migliariello-baccalà-porchetta
29,Estate a conza
30,
31,San rocco festa patronale  15 e 16 agosto
31,Col monumentale “giglio” di spighe di grano. festa di sant’antonio    13 giugno. festa di ss.maria del rosario e s.vito    3 e 4 giugno. sagra del cicatiello  10 agosto. sagra del mugniatiello  inizi di settembre
32,Il santo patrono è s. michele
32,Festeggiato il 6 dicembre. a maria ss
32,Festeggiata il 15 agosto è dedicata la festa del carro (14-16 agosto)
32,Un obelisco di paglia in stile gotico
32,Con al vertice la statua della madonna della misericordia
33,Il santo patrono è s. nicola di mira
33,Festeggiato il 6 dicembre. numerosi sono gli altri eventi sia religiosi che civili
33,Soprattutto estivi. ricordiamo la festa di s. stefano (14 marzo)
33,La festa di s. michele (8 maggio)
33,La sagra dello gnocco (luglio)
33,La festa di s. anna (26 luglio)
33,La festa di s. nicola (fine luglio-inizio agosto
33,Con la fiaccolata l'ultimo giovedì di luglio)
33,Il presepe vivente (fine dicembre-inizio gennaio)
33,La via crucis
33,Rappresentazione del calvario di gesù
33,Organizzata dai padri passionisti
33,Che prende le mosse nel tardo pomeriggio del venerdì santo dalla chiesa di s. stefano
33,Per proseguire nel centro storico
33,Con la rappresentazione dei vari episodi della passione verso il golgota
34,Assai numerose sono le manifestazioni: processione dei misteri con statue del 1700 (settimana di pasqua)
34,Fiera e festa della madonna del buon consiglio (8-10 maggio)
34,Cappelle viventi (31 maggio)
34,Tradizionale processione del venerdì santo con la rappresentazione della passione di cristo
34,Sagra delle chichierchie (fine luglio) e le importanti feste di ferragosto
34,Cioè la festa dell'assunta e di s. rocco
35,Diversi sono gli eventi che ravvivano la vita di questo tranquillo borgo: santo patrono (san nicola)
35,Festeggiato il 6 dicembre; carnevale gesualdino
35,Che si tiene a febbraio
35,Si caratterizza per la sfilata dei carri; venerdì santo
35,In cui si celebra la passione di cristo
35,Tramite una rappresentazione delle sue principali tappe; celebrazione del volo dell'angelo
36,Ricordiamo i festeggiamenti che si tengono in questo borgo irpino: processione della via crucis (venerdì santo)
36,Con il tradizionale canto della kalimera
36,Rievocativo della passione di cristo (in lingua arbëreshë); festa padronale della madonna del caroseno (prima decade di giugno) di origine bizantina
36,Nel corso dei secoli simbolo dell'antico legame degli albanesi di greci con la madrepatria; festa e la fiera di s. antonio (13 giugno)
37,Al santo patrono sono dedicati due giorni (7 marzo e prima domenica di giugno). durante l'estate molti emigrati tornano per partecipare alle tante feste religiose o civili
37,Tra cui ricordiamo quelle di san ciriaco (8 agosto) e di san michele (29 settembre). assai frequentato è il mercato
37,Che si tiene ogni lunedì ed occupa praticamente tutta la zona centrale del paese
38,Festa di san ciriaco (8 agosto) e festa di san michele (29 settembre)
39,Tra gli eventi
39,Soprattutto estivi
39,Che rianimano il paese svuotato dall'emigrazione
39,Ricordiamo: il falò di s. giuseppe (19 marzo)
39,La fiera di s. leone (19 aprile)
39,La fiera maria santissima incoronata (ultimo sabato aprile)
39,La festa e la fiera di s. maria dei manganelli (21 e 22 giugno)
39,La festa e la fiera di s. pietro (29 giugno)
39,L'agosto guardiese
39,La festa e la fiera di (6-7 agosto)
39,La festa del borgo antico (penultima domenica agosto)
40,Il falò di san giuseppe (19 marzo)
40,La festa della madonna delle grazie
40,Che si tiene la prima domenica di maggio (la statua della madonna delle grazie viene portata in processione fino a lacedonia ad aprile
40,Il lunedì in albis
40,Dove viene esposta all'adorazione dei fedeli per circa un mese nella cattedrale
41,Fiano love fest
41,Le lumanerie e festa della vendemmia
42,Festival dell'arte e calendario natalizio
43,Nel periodo estivo il paese si è fatto promotore di varie iniziative di carattere culturale come il lionijazzfestival e il lionimusicfestival
44,Concorso poesia
44,Concorso dei falò
44,Immacolata concezione e via crucis
45,Campagna amica
45,Sagra del fusillo e festa di sant'antonio
46,Festa st maria dell'abbondanza ed eventi teatrali
47,I melitesi festeggiano altresì la madonna incoronata (pasquetta)
47,S. antonio (13 giugno) e s. anna (26 luglio
47,Con fiera)
47,S. maria addolorata (15 settembre
47,Con fiera)
48,
49,Settembre eclanese
49,Il trasporto del carro
49,Mercatini di natale
49,Tombolata a calore
49,Sagra trippa e spezzatino
49,Sagra della pannocchia
50,
51,Fiera di santa caterina
51,Sagra di ciatielli
52,Festa di san feliciano
52,Festa di sant'antonio
52,Fiera della madonna di montevergine
53,
54,
55,
56,
57,Carnevale sagra del vino
58,
59,
60,
61,
62,
63,Festa del maio
64,Festa di san nicola
64,Ceraso
64,Festa del maio
65,Sagra della castagna del prete
65,A juta a montevergine
65,
66,Carnevale indoor più grande del mondo
67,Sagra del fusillo e della porchetta
68,Carnevale paternese
68,Carri di partenopoli
69,Festa di san nicola
69,Festa del maio e festa di san bartolomeo
70,Festa di sant'elena e san faustino
70,Sagra del fusillo e della braciola
71,Festa di san biagio
71,Festa di san pietro e paolo
71,Music festival di pietrastornina e sagra dei culorgiones
72,Festa di san giacomo
72,Mercatini di natale
72,Sagra del vino
73,Mercato settimanale
73,La sagra della polpetta
73,Presepe vivente
73,Raduno di auto e moto d'epoca e festa del santo patrono
74,Mercato settimanale
74,Festa patronale e sagra del vino
75,Mercato
75,Carnevale
75,Settimana santa
76,Mercato
76,Feste medioevali
76,
77,Mercato
77,Sagra laganelle e ceci
78,Festa di san michele arcangelo
79,Festa per la madonna delle grazie
79,Sagre della castagna e del fungo porcino
80,Mercato
80,Il volo dell'angelo
80,Sagra dei fichi
81,Mercatino
81,Carnevale
82,
83,Falò san nicola
84,
85,
86,Processione dei misteri
86,Festa dell' incoronata
86,Rito delle maggiaiole
86,Festa della madonna del carmine
86,Festa di s.andrea e s.emidio
86,Sagra del fuoco a s.antonio
86,Natale all'ex fornace.mercato
87,Processioni dedicate a san michele e san silvestro
87,Sagre
88,Mercatino del pesce
88,Mercato
88,Santo patrono san michele arcangelo
88,Correre tra le terre di bacco
88,Sagra della seppia
88,Il pastiero
88,Escajazz
89,Festa di sant'antonino
89,Festa di san michele
90,Festa di s. antonio.festa della madonna del carmine.festa di san rocco.festa di santa lucia.festa della madonna del rosario. sagra dei prodotti tipici
91,Mercato ogni secondo weekend del mese
91,Eventi di natale
92,Eventi di fumetti
92,Eventi di natale
93,Eventi di natale
94,Teatro
94,Eventi occidente verso oriente
94,Opera
95,Eventi teatrali
95,Eventi artigiani
95,Eventi di degustazione
96,Sagra della castagna e canalarte
97,"I ""mesi"" e la ""zeza"
97,"I ""battenti"
97,Il falò
97,Natale piccirillo
97,"L'offerta del ""maio"
98,Mercato settimanale
98,Carnevale
98,Workshock della risata
99,Sagra di castagne e vino
99,Safra della coccetella
99,Festa di san martino
100,Festa di s. elia
100,Festa della s. croce festa di s. antonio da padova
100,Sagra della braciola
100,Festa del maio
