commune_id,epoca_di_fondazione,secolo_di_fondazione,anno_di_fondazione,etimologia_del_nome,storia
0,Antica,XI,1045.0,"Il termine deriva dal latino agellus, diminutivo di ager (campo). L'aggiunta del nome ""Sabato"" è dovuta alla presenza di diversi comuni e frazioni omonimi e deriva dal fiume Sabato.","l territorio comunale si colloca in una zona collinare, ricca di vegetazione e sorgenti d'acqua, immediatamente a sudest del capoluogo, dal cui centro cittadino dista circa 4 km; in particolare, il centro storico occupa una collina di circa 440 metri d'altitudine, che domina da un lato l'intero Sistema Urbano di Avellino, di cui il comune stesso fa parte, e dall'altro l'alta valle del fiume Sabato."
1,Medievale,VI,,"Di origine normanna, la denominazione Altavilla risale al XII secolo, quando la zona divenne feudo di Luigi de Capua. Quest'ultimo scelse questo nome in ricordo di ""Hauteville"" di Normandia. Il termine ""Irpina"" è identificativo della zona ed è legato ad Irpinia, terra così chiamata forse per la divinizzazione dei lupi (dal termine italico hirpus).","Le prime evidenze storiche risalgono invece al castello, denominato di Altacauda, che in epoca longobarda esisteva nell'attuale territorio comunale. Si arrivò poi, dopo alterne vicende, nel XII secolo alla dominazione dei Normanni. Successivamente il feudo contenente tale nucleo abitato passò alla famiglia De Capua e solo allora si giunse al nome di Altavilla per mezzo del quale Luigi De Capua così ricordava il proprio casato nonché la sua provenienza dall'omonima città in Normandia"
2,Medievale,XII,1124.0,"L'etimologia si collega con i cognomi Andretta, Andrietta o Andrietti che derivano a loro volta dal nome greco Andrea. Secondo altri invece il nome deriverebbe dal greco andreia, ανδρεία, ossia fermezza, fortezza.","Il primo nucleo dell’odierno abitato fu edificato probabilmente durante la guerra greco-gotica (VI secolo d.C.), intorno a una fortezza normanna; il feudo è citato tuttavia per la prima volta in alcune fonti documentarie del 1124, anno in cui era compreso tra i possedimenti di Roberto de Andrecta. Passò successivamente sotto il dominio di diversi signori locali, quali Aleramo, Fromondo I e Fromondo II Folleville. Ceduta in epoca angioina a Rinaldo de Poncels (1280), fu venduta nei secoli successivi agli Zurlo, ai Caracciolo (XVI secolo) e agli Imperiale, che la amministrarono fino all’eversione della feudalità (1806). Il toponimo, menzionato nelle RATIONES DECIMARUM della Campania (1308-1310), è di probabile origine antroponimica. Tra i ritrovamenti archeologici figurano materiali architettonici, lapidei e laterizi di una villa rustica di epoca tardo-imperiale. La parrocchiale di Santa Maria Assunta, ampliata nel XVIII secolo con la costruzione di tre navate barocche, custodisce un coro ligneo, opera di artigiani campani, e vari dipinti a olio della scuola di Luca Giordano (XVIII secolo); la adornano all’esterno un portale architravato, posto al centro della facciata a capanna, e un imponente campanile, eretto probabilmente sui resti di una fortezza medievale."
3,Antica,V,,,"Il territorio di Aquilonia doveva essere coperto di vasti e folti boschi, oggi scomparsi a causa dello sfruttamento agricolo del suolo. La conferma da un lato, è etimologica, derivando il nome del paese dal latino, col significato di ""bruna, oscura"", in riferimento ai boschi scomparsi, dall'altro, è economica, visto che lo sfruttamento del legno dei boschi per la produzione del carbone aveva fatto chiamare il paese ""Carbonara""."
4,Antica,X,900.0,"L'etimologia del nome Ariano Irpino deriva da AB ARA IANI, ovvero da un sacello edificato in onore di Giano. Il comune di Ariano Irpino non presenta frazioni bensì un gran numero di contrade.","Di origine romana è il borgo di Aequum Tuticum, sorto sull'altopiano si Sant'Eleuterio a non molta distanza dal primitivo insediamento de La Starza. Benché la seconda parte del nome sia costituita dal termine pre-latino, il centro si sviluppa in correlazione a due antiche strade consolari romane, la via Aemilia e la via Minucia, entrambe diramazioni della via Appia. Il vicus è citato per la prima volta nel 50 a.c. da Cicerone che, in una sua missiva a Tito Pomponio Attico, scrive proprio da Aequum Tuticum definendolo un punto di sosta lungo la direttrice per l'Apulia. Il periodo di massimo splendore giunge però in epoca imperiale quando il centro diventa anche il punto d'incrocio fra la via Traiana e la via Herculea."
5,Medievale,XX,1979.0,il nome e la tradizione dicono che il paese è di origine longobarda e si crede sia stato fondato intorno al XI. Il luogo dove sorge era già precedentemente abitato con il nome di Abellinum e ciò lo possiamo dedurre dai numerosi avanzi presenti nel comune. Dalle rovine si costruì gradualmente il paese che ha come più grande ricchezza il fiume Sabato.,"Di tale paese, derivato dall'aggregazione di Casali divisi per lungo tempo, si ebbe menzione per la prima volta in un documento del 1078, quando le milizie di Roberto il Guiscardo rasero al suolo il suo castello."
6,Antica,IV,339.0,"il nome del comune deriva etimologicamente da Abella, il cui abitato coincideva in parte all'età sannitica e romana.","L'antica Abella, il cui abitato in parte coincideva in età sannitica e romana con il più orientale dei due nuclei dell'attuale centro storico, era di rilievo, fra i centri medio-piccoli della Campania antica, anche se superata in importanza e grandezza dalla vicina Nola. Si trova sulla via che collegava e collega tuttora la pianura Campana con la valle del Sabato e il Sannio Irpino, strada meno agevole della Via Appia; la posizione e la coltivazione della pregiata nux Abellana costituivano una risorsa economica, alla quale si aggiungevano lo sfruttamento dei boschi e l'allevamento nelle zone più alte. l'unico avvenimento storico di un certo rilievo di cui si sappia da fonti scritte è la fedeltà a Roma durante la guerra sociale che fu punita nell'87 a.c. con la distruzione da parte dei sanniti che ancora occupavano Nola."
7,Antica,I,82.0,"è stata fondata dagli Irpini, il nucleo originale della città, Abellinum si formò sulla collina della Civita, dove sono stati trovati numerosi reperti archeologici. Secondo alcune ricerche la città era al centro dei territori dei Sabatini, popolo sabello documentato da Tito Livio. Fu conquistata dai romani he la sottrassero al dominio degli Irpini durante la battaglia di Aquilonia, durante le guerre sannitiche.","Tra i vari feudatari che si sono succeduti nel possesso di Aquilonia ricordiamo i Cotigni, i Del Balzo, i Caracciolo e gli Imperiale di S. Angelo dei Lombardi."
8,Medievale,IX,,"Deriva dal latino Balneolum o Baniolum da cui ""Bagnolo"" in riferimento dal lago Laceno situato nei pressi o da altre fonti d'acqua. La specifica IRPINO è sicuramente successiva e aggiunta per distinguere bagnoli dagli altri comuni.","Il comune fa parte della regione storica del Sannio Irpino, da quando i Sanniti Hirpini giunsero alle sorgenti del Calore sotto la guida dell'hirpinus. Con la conquista del Sannio da parte dei romani e il suo smembramento, il paese rinacque sotto il dominio dei Longobardi e del loro castello intorno all'anno 870. L'arrivo dei Normanni, intorno all'anno 1000, servì a ricomporre il paese, unendo tutti i suoi casali. Nel 1450 la venuta dei Cavaniglia, che comperarono la contea di Montella, diede nuovo impulso al paese non solo nell'artigianato ma anche nelle arti."
9,Antica,XVIII,1715.0,"Deriva dal nome latino di persona Bius a cui si aggiunge il suffisso -anus che indica appartenenza, oppure dal nome latino di persona Badius, con la trasformazione avvenuta con il tempo di ""di"" in ""i"", sempre con l'aggiunta del suffisso -anus. Un'altra ipotesi ritiene che derivi da Praedium Vallejanum, ossia Villa di Valleo, confermata dal fatto che sullo stemma civico è raffigurata la lettera ""V"".","Il nome potrebbe derivare da una proprietà di epoca romana, praedium Badianum (""podere di Badio""), legato al vicino centro di Abella (oggi Avella). In epoca romana il territorio era stato assegnato alla tribù Galeria.Fece in seguito parte del longobardo ducato di Benevento e del normanno principato di Salerno ed è ricordato nel 1129 come casale di Avella, mentre nel 1210 era tassato separatamente. In seguito fu feudo degli Orsini e quindi fece parte della baronia di Avella. Alla fine del Seicento recuperò la propria autonomia.Nel 1715 divenne comune autonomo con il nome di Bajano (nome che mantenne fino ai primi del Novecento) e fece parte in passato della provincia di Terra di Lavoro, mandamento di Bajano (di cui facevano parte anche Avella, Mugnano del Cardinale, Quadrelle, Sirignano e Sperone). Con l'unità d'Italia fu assegnata alla provincia di Avellino."
