commune_id,month,day
0,Gennaio,20.0
1,Maggio,20.0
2,Settembre,5.0
3,,
4,Marzo,23.0
5,Febbraio,9.0
6,Gennaio,20.0
7,Febbraio,14.0
8,Agosto,10.0
9,Agosto,3.0
10,Giugno,13.0
11,Gennaio,15.0
12,Novembre,10.0
13,Marzo,19.0
14,Maggio,25.0
15,Maggio,26.0
16,Agosto,10.0
17,Dicembre,6.0
18,Giugno,24.0
19,Agosto,5.0
20,Agosto,25.0
21,Febbraio,2.0
22,Maggio,9.0
23,Luglio,2.0
24,Settembre,19.0
25,Dicembre,31.0
26,Gennaio,14.0
27,Maggio,8.0
28,Maggio,8.0
29,Agosto,20.0
30,Maggio,26.0
31,Dicembre,6.0
32,Dicembre,6.0
33,Dicembre,6.0
34,Giugno,14.0
35,Dicembre,6.0
36,Agosto,25.0
37,Marzo,7.0
38,Settembre,1.0
39,Aprile,19.0
40,Maggio,26.0
41,Aprile,29.0
42,Gennaio,20.0
43,Agosto,16.0
44,Giugno,2.0
45,Aprile,25.0
46,Novembre,10.0
47,Settembre,1.0
48,Febbraio,14.0
49,Febbraio,2.0
50,Agosto,13.0
51,Agosto,30.0
52,Giugno,13.0
53,Novembre,11.0
54,Dicembre,6.0
55,Ottobre,8.0
56,Agosto,15.0
57,Agosto,21.0
58,Agosto,7.0
59,Novembre,25.0
60,Settembre,10.0
61,Agosto,23.0
62,,
63,Luglio,2.0
64,Maggio,28.0
65,Maggio,3.0
66,Giugno,13.0
67,Agosto,16.0
68,Dicembre,6.0
69,Agosto,24.0
70,,
71,Febbraio,3.0
72,Luglio,25.0
73,,
74,Giugno,24.0
75,Settembre,8.0
76,Gennaio,14.0
77,Aprile,23.0
78,Settembre,29.0
79,Giugno,29.0
80,Novembre,9.0
81,Novembre,11.0
82,Settembre,29.0
83,Dicembre,6.0
84,,
85,Aprile,29.0
86,Novembre,30.0
87,Settembre,29.0
88,Maggio,8.0
89,Settembre,29.0
90,Dicembre,13.0
91,Giugno,6.0
92,Giugno,15.0
93,Luglio,26.0
94,Maggio,8.0
95,Maggio,8.0
96,Ottobre,4.0
97,Novembre,30.0
98,Settembre,29.0
99,Novembre,11.0
100,Luglio,20.0
101,Agosto,8.0
102,Dicembre,6.0
103,Agosto,15.0
104,Giugno,14.0
105,Dicembre,6.0
106,Settembre,20.0
107,Marzo,16.0
108,Settembre,29.0
109,Agosto,12.0
110,Maggio,8.0
111,Agosto,24.0
112,Dicembre,8.0
113,Settembre,8.0
114,Giugno,21.0
115,Giugno,24.0
116,Dicembre,6.0
117,Luglio,26.0
