commune_id,nome_degli_abitanti
0,Aiellesi
1,Altavillesi
2,Andrettesi
3,Aquiloniesi
4,Arianesi
5,Atripaldesi
6,Avellani
7,Avellinesi
8,Bagnolesi
9,Baianesi
10,Bisaccesi
11,Bonitesi
12,Cairanesi
13,Calabrittani
14,Calitrani o aletrini
15,Candidesi
16,Caposelesi
17,Caprigliesi
18,Carifani
19,Casalboresi
20,Cassanesi
21,Ciaschini o castellesi
22,Castellesi
23,Castelveteresi
24,Cervinaresi
25,Cesinalesi
26,Chianchesi
27,Chiusanesi
28,Contradesi
29,Conzani
30,Domicellesi
31,Flumeresi
32,Fontanarosani
33,Forinesi
34,Frigentini
35,Gesualdini
36,Grecesi
37,Grottesi
38,Grottolellesi
39,Guardiesi
40,Lacedonesi
41,Lapiani
42,Lauretani
43,Lionesi
44,Luogosanesi
45,Manocalzatesi
46,Marzanesi
47,Melitesi
48,Mercoglianesi
49,Mirabellani
49,Eclanesi
50,Montagutesi
51,Montecalvesi
52,Montefalcionesi
53,Montefortesi
54,Montefredanesi
55,Montefuscani
56,Montellesi
57,Montemaranesi
58,Montemilettesi
59,Monteverdesi
60,Montoresi
61,Morresi
62,Moschianesi
63,Mugnanesi
64,Nuscani
65,Ospedalettesi
66,Paghesi
67,Parolisani
68,Paternesi
69,Petruresi
70,Pietradefusani
71,Pietrastorninesi
72,Pratesi
73,Pratolani
74,Quadrellesi
75,Quindicesi
76,Rocchesi
77,Rocchesi
78,Rotondesi
79,Salzesi
80,Sammanghesi
81,Sammartinesi
82,Sammichelesi
83,Sannicolesi
84,Sanpotitesi
85,Sossiani
86,Santandreani
87,Santangiolesi
88,Santangiolesi
89,Santangiolesi
90,Luciani
91,Santapaolinari
92,Santostefanesi
93,Savignanesi
94,Scampitellesi
95,Senerchiesi
96,Serinesi
97,Sirignanesi
98,Solofrani
99,Sorbesi
100,Speronesi
101,Sturnesi
102,Summontesi
103,Tauranesi
104,Taurasini
105,Teoresi
106,Torellesi
107,Torresi
108,Torrionesi
109,Trevicani
110,Tufesi
111,Vallatesi
112,Vallesaccardesi
113,Venticanesi
114,Villamainesi
115,Villanovesi
116,Volturaresi
117,Zungolesi
