commune_id,nome
0,Aiello del Sabato
1,Altavilla Irpina
2,Andretta
3,Aquilonia
4,Ariano Irpino
5,Atripalda
6,Avella
7,Avellino
8,Bagnoli Irpino
9,Baiano
10,Bisaccia
11,Bonito
12,Cairano
13,Calabritto
14,Calitri
15,Candida
16,Caposele
17,Capriglia Irpina
18,Carife
19,Casalbore
20,Cassano Irpino
21,Castel Baronia
22,Castelfranci
23,Castelvetere sul Calore
24,Cervinara
25,Cesinali
26,Chianche
27,Chiusano di San Domenico
28,Contrada
29,Conza della Campania
30,Domicella
31,Flumeri
32,Fontanarosa
33,Forino
34,Frigento
35,Gesualdo
36,Greci
37,Grottaminarda
38,Grottolella
39,Guardia Lombardi
40,Lacedonia
41,Lapio
42,Lauro
43,Lioni
44,Luogosano
45,Manocalzati
46,Marzano di Nola
47,Melito Irpino
48,Mercogliano
49,Mirabella Eclano
50,Montaguto
51,Montecalvo Irpino
52,Montefalcione
53,Monteforte Irpino
54,Montefredane
55,Montefusco
56,Montella
57,Montemarano
58,Montemiletto
59,Monteverde
60,Montoro
61,Morra De Sanctis
62,Moschiano
63,Mugnano del Cardinale
64,Nusco
65,Ospedaletto d'Alpinolo
66,Pago del Vallo di Lauro
67,Parolise
68,Paternopoli
69,Petruro Irpino
70,Pietradefusi
71,Pietrastornina
72,Prata di Principato Ultra
73,Pratola Serra
74,Quadrelle
75,Quindici
76,Rocca San Felice
77,Roccabascerana
78,Rotondi
79,Salza Irpina
80,San Mango sul Calore
81,San Martino Valle Caudina
82,San Michele di Serino
83,San Nicola Baronia
84,San Potito Ultra
85,San Sossio Baronia
86,Sant'Andrea di Conza
87,Sant'Angelo a Scala
88,Sant'Angelo all'Esca
89,Sant'Angelo dei Lombardi
90,Santa Lucia di Serino
91,Santa Paolina
92,Santo Stefano del Sole
93,Savignano Irpino
94,Scampitella
95,Senerchia
96,Serino
97,Sirignano
98,Solofra
99,Sorbo Serpico
100,Sperone
101,Sturno
102,Summonte
103,Taurano
104,Taurasi
105,Teora
106,Torella dei Lombardi
107,Torre Le Nocelle
108,Torrioni
109,Trevico
110,Tufo
111,Vallata
112,Vallesaccarda
113,Venticano
114,Villamaina
115,Villanova del Battista
116,Volturara Irpina
117,Zungoli
