commune_id,percorso
0,
1,
2,
3,
4,Ariano macchia cupa
4,Giro turistico ariano montaguto
5,Linea verde
5,Valle del fiume sabato
5,Atripalda taurasi passo serra
6,Partenio trekking
6,Acqua sambuco sentiero alto
7,Area pic nic fiume sabato
7,Grotta profunnata
7,Fontana mafariello
8,Colle molella bagnoli irpino
9,
10,
11,
12,A cairano un viaggio tra storiche cantine e rupe sognanti eventi a avellino„un percorso arcaico che prende forma tra radicati versi e racconti di altri tempi
12,Per proseguire nella pittoresca via delle grotte
12,Unica in campania
12,Alla scoperta di cantine millenarie che nascondono autentiche necropoli
12,Con una stratificazione geologica straordinaria.passando per il teatro al centro del paese fino alla rupe
12,Il punto più alto di cairano. da qui si gode di un’ampia vista sulla valle dell’ofanto e sulla catena appenninica dei monti picentini e nelle giornate di vento
12,Suona il magistrale organo a canne
12,Unico al mondo
12,Che lascia spazio a una profonda meditazione. scendendo
12,Una piccola sosta ai giardini di biasi
12,Un giardino ricco di idee e particolari originali
12,E l’incontro imprescindibile con la storia di cairano
12,Il barista zi ngiulino.l’esperienza prosegue a casa di dario
12,Dove tra storie e aneddoti
12,Ogni viaggiatore potrà conoscere la magia nascosta del piccolo paese
12,E infine il light lunch organizzato da zembalo gesualdo (prodotti tipici
12,Piatti della tradizione ed eccellenti bicchieri di vino per conoscere i sapori del borgo e irpini)
13,
14,La visita guidata
14,Partendo dalla storia di calitri
14,Mostra i ruderi del castello
14,La chiesa di s.canio
14,L'ex monastero delle suore benedettine
14,Ora sede del municipio
14,La chiesa della ss annunziata
14,La chiesa di s. bernardino e fornisce informazioni sulle altre chiese
15,La  visita guidata
15,Partendo dalla storia di candida
15,Mostra i due castelli
15,Uno diroccato
15,All'ingresso del paese ed un altro nel borgo antico
15,L'ex monastero virginiano la chiesa di s. maria assunta
15,Gli edifici signorili
15,Delle immagini dell'antico borgo
16,La visita guidata partendo dalla storia di caposele
16,Mostra i pochi ruderi del castello
16,La chiesa di s. lorenzo
16,La chiesa di s. maria sanità
16,La galleria di immagini di caposele
16,Il santuario di s. gerardo maiella
17,
18,La visita guidata partendo dalla storia di carife parte dalla chiesa di s. giovanni battista
18,Di s. francesco
18,Del  purgatorio e dell'addolorata. poi si procede verso i portali in pietra
18,Nonché le case tipiche ed infine ci sono delle fontane del verde acque e del palazzo marchesale
19,
20,
21,
22,Escursioni per visitare i tre mulini
22,Viaggio in treno turistico ai falò
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,Il territorio di fontanarosa è ricco di sorgenti
32,Di cui una avrebbe dato i nome al paese. una passeggiata lungo il torrente fredane consente di godere di una bella vista
32,In luoghi interessanti dal punto di vista naturalistico ed ancora incontaminati. i terremoti hanno accompagnato costantemente la storia di questo borgo. la nostra visita guidata
32,Partendo dalla storia di fontanrosa
32,Si sofferma sull'incantevole centro storico
