commune_id,numero_di_frazioni,numero_di_punti_di_interesse
0,4.0,3.0
1,7.0,11.0
2,1.0,11.0
3,,13.0
4,0.0,60.0
5,4.0,10.0
6,1.0,50.0
7,6.0,81.0
8,1.0,28.0
9,0.0,7.0
10,5.0,7.0
11,15.0,12.0
12,0.0,7.0
13,1.0,6.0
14,1.0,14.0
15,0.0,8.0
16,1.0,5.0
17,8.0,4.0
18,7.0,5.0
19,9.0,8.0
20,0.0,9.0
21,4.0,8.0
22,9.0,6.0
23,5.0,13.0
24,12.0,3.0
25,1.0,8.0
26,3.0,2.0
27,0.0,6.0
28,3.0,3.0
29,,3.0
30,2.0,9.0
31,15.0,5.0
32,0.0,8.0
33,3.0,13.0
34,3.0,10.0
35,2.0,10.0
36,0.0,8.0
37,13.0,12.0
38,4.0,5.0
39,17.0,10.0
40,,28.0
41,4.0,12.0
42,4.0,27.0
43,7.0,7.0
44,0.0,2.0
45,1.0,4.0
46,2.0,22.0
47,3.0,9.0
48,3.0,7.0
49,3.0,18.0
50,1.0,14.0
51,2.0,13.0
52,6.0,5.0
53,6.0,4.0
54,3.0,3.0
55,6.0,4.0
56,11.0,4.0
57,1.0,3.0
58,9.0,5.0
59,0.0,3.0
60,15.0,3.0
61,6.0,8.0
62,,7.0
63,1.0,8.0
64,1.0,7.0
65,0.0,11.0
66,2.0,0.0
67,1.0,0.0
68,0.0,
69,1.0,3.0
70,6.0,10.0
71,0.0,12.0
72,2.0,13.0
73,7.0,10.0
74,0.0,14.0
75,2.0,6.0
76,0.0,5.0
77,6.0,5.0
78,1.0,6.0
79,0.0,9.0
80,5.0,4.0
81,20.0,3.0
82,0.0,3.0
83,1.0,3.0
84,0.0,
85,9.0,
86,0.0,11.0
87,0.0,2.0
88,0.0,3.0
89,33.0,3.0
90,0.0,3.0
91,9.0,3.0
92,6.0,3.0
93,11.0,3.0
94,0.0,12.0
95,5.0,5.0
96,24.0,6.0
97,0.0,5.0
98,2.0,10.0
99,0.0,4.0
100,0.0,2.0
101,9.0,12.0
102,2.0,1.0
103,0.0,7.0
104,,10.0
105,0.0,5.0
106,8.0,7.0
107,7.0,1.0
108,3.0,4.0
109,8.0,
110,3.0,7.0
111,1.0,8.0
112,6.0,2.0
113,3.0,4.0
114,3.0,3.0
115,2.0,1.0
116,1.0,3.0
117,2.0,2.0
