commune_id,numero_di_abitanti,sindaco
0,1351,Vincenzo Lanzone
1,7553,Maria Luisa Di Tommaso
2,4733,Angelo Francesco Marcucci
3,5323,Giuseppe Guida
4,51228,Alfonso Golia
5,2101,Giuseppe Di Cerbo
6,6110,Filippo Abbate
7,1871,Lamberto Di Caprio
8,5574,Stefano Giaquinto
9,5650,Giovanni Lombardi
10,1962,Giovanni Borzacchiello
11,5664,Raffaele Ambrosca
12,10146,Angelo Crescente
13,1532,Giovanni Prato
14,18610,Luca Branco
15,6985,Nicola Affinito
16,7049,Antonio Russo
17,13448,Giuseppe Vozza
18,21483,Renato Francesco Natale
19,9892,Antonio Tatone
20,7052,Marcello De Rosa
21,8522,Renzo Giuseppe Lillo
22,73398,Carlo Marino
23,1546,Gennaro Marcuccio
24,3695,Gianfranco Della Valle
25,26918,Luigi Umberto Petrella
26,1148,Francesco Coletta
27,1463,Salvatore Montone
28,7976,Guido Di Leone
29,4926,Gennaro Piscitelli
30,8897,Vincenzo Guida
31,430,Mauro di Stefano
32,1215,David Lucio Simone
33,7039,Antonio Raiano
34,2088,Silvio Lavornia
35,3618,Erasmo Fava
36,776,Stefano Cambio
37,1467,Michele Scirocco
38,4886,Gaetano Tessitore
39,9151,Commissario Prefettizio
40,536,Antonella Delli Carpini
41,2108,Francesco Lepore
42,660,Antonio Feola
43,3595,Giuseppe Gaetano
44,7059,Enrico Petrella
45,12649,Vincenzo Santagata
46,656,Pasquale Orsi
47,1135,Antonio Diana
48,15463,Nicola Esposito
49,10500,Stefano Antonio Cioffi
50,38219,Andrea De Filippo
51,39386,Antonello Velardi
52,3224,Antonio Conca
53,3160,Antonio Verdone
54,28992,Virgilio Pacifico
55,27407,Andrea Villano
56,11578,Vito Luigi Pellegrino
57,3057,Vincenzo Russo
58,2314,Stefano Lombardi
59,10613,Luigi Di Lorenzo
60,4722,Pasquale Di Fruscio
61,2960,Marianna Di Robbio
62,5965,Giorgio Magliocca
63,1697,Amedeo Izzo
64,7905,Giuseppe Oliviero
65,1434,Damiano De Rosa
66,1462,Emilio Sion
67,1801,Andrea Maccarelli
68,1259,Ermanno Masiello
69,7773,Raffaele Porfidia
70,2321,Armando Fusco
71,3136,Emilia Delli Colli
72,3462,Carlo Montefusco
73,851,Nicola Pelosi
74,447,Salvatore Geremia
75,1618,Roberto Cusano
76,12891,Vincenzo Caterino
77,17395,Giovanna Ferrara
78,906,Giuseppe Carmine Mallardo
79,14335,Anacleto Colombiano
80,6579,Gabriele Cicala
81,22605,Vito Marotta
82,923,Mariano Fuoco
83,1959,Francesco Imperadore
84,12293,Domenico D'Angelo
85,5553,Ernesto Stellato
86,2135,Michele Caporaso
87,14993,Giuseppe Dell'Aversana
88,32213,Antonio Mirra
89,13953,Andrea Pirozzi
90,2618,Nicolino Federico
91,21102,Andrea Cantadori
92,7316,Salvatore Martiello
93,8560,Gianni Colella
94,11708,Alfredo D'Andrea
95,14507,Tommaso Barbato
96,850,Luciano Fatigati
97,20019,Michele Apicella
98,6563,Bartolomeo Cantelmo
99,800,Rocco Landi
100,2709,Francesco Buzzo
101,12305,Valerio Di Fraia
102,7205,Luigi Della Corte
103,7574,Raffaele Russo
