commune_id,numero_di_aziende,numero_di_scuole
0,2,3
1,11,9
2,4,5
3,10,10
4,150,50
5,1,5
6,9,4
7,4,4
8,14,13
9,14,12
10,10,3
11,15,6
12,14,4
13,3,4
14,15,19
15,51,7
16,49,13
17,51,13
18,50,23
19,52,12
20,53,6
21,50,4
22,51,113
23,50,6
24,50,4
25,25,19
26,4,2
27,20,12
28,19,7
29,15,7
30,50,12
31,35,9
32,135,3
33,8,2
34,3,2
35,10,3
36,1,3
37,3,6
38,7,7
39,10,4
40,0,3
41,1,4
42,0,2
43,2,7
44,13,7
45,32,6
46,1,3
47,1,3
48,23,5
49,14,9
50,48,34
51,46,39
52,3,3
53,4,5
54,35,25
55,20,9
56,36,6
57,10,4
58,8,5
59,25,27
60,5,4
61,1,4
62,8,5
63,2,4
64,13,6
65,1,3
66,2,5
67,1,3
68,0,4
69,6,5
70,4,3
71,5,8
72,4,6
73,0,3
74,1,2
75,10,3
76,25,6
77,35,18
78,2,3
79,36,12
80,8,16
81,18,5
82,1,9
83,9,3
84,26,15
85,5,4
86,0,4
87,16,14
88,93,55
89,22,20
90,2,4
91,15,45
92,20,8
93,17,8
94,23,20
95,30,9
96,2,2
97,38,15
98,12,20
99,0,3
100,5,3
101,22,11
102,26,6
103,14,7
