commune_id,event
0,Mercato settimanale di ailano
0,Festa padronale
1,Mercato settimanale di alife
1,Festa della cipolla
1,Notti della bontà
1,Festa padronale
2,Mercato settimanale di alvignano
2,Festa padronale
3,Mercato settimanale di arienzo
3,Festa padronale
4,Premio bianca d’aponte città di aversa
4,Mercato settimanale di aversa
4,La festa di cioccolato a aversa
4,Approdi
4,Dodici locanda del gusto a aversa
4,Sotto il cielo di un'estate a aversa
4,Nostos teatro
4,Il carnevale di cimarosa a aversa
4,Artigiani in vetrina a aversa
4,Festa padronale
5,Mercato settimanale di baia e latina
5,Presepe vivente baia e latina
5,Festa padronale
6,Mercato settimanale di bellona
6,Slow food campania
6,Festa padronale
7,Sagra del casereccio
7,Fateve'na birra
7,Festa padronale
8,Mercato settimanale di caiazzo
8,Festa padronale
9,Mercato settimanale di calvi risorta
9,Festa padronale
10,Camigliano folk festival
10,Presepe vivente napoletano del '700
10,Mercato settimanale di camigliano
10,Sentieri del vino a camigliano
10,Arte
10,Tradizioni e prodotti tipici
10,Festa padronale
11,Sagra della mozzarella
11,Mercato settimanale di cancello ed arnone
11,Festa padronale
12,Mercato settimanale di capodrise
12,La notte della taranta a capodrise
12,Festa padronale
13,Mercato settimanale di capriati a volturno
13,Via rocheliana e trionfo san rocco
13,Festa padronale
14,Convegno numismatico e filatelico partenopeo
14,Mercato settimanale di capua
14,Festa padronale
15,Festa padronale
15,Mercato settimanale di carinaro
15,Festa padronale
16,Festa padronale
16,Mercato settimanale di carinola
17,Festa padronale
17,Mercato settimanale di casagiove
18,Festa padronale
18,Mercato settimanale di casal di principe
19,Festa padronale
19,Mercato settimanale di casaluce
20,Festa padronale
20,Mercato settimanale di casapesenna
21,Festa padronale
21,Mercato settimanale di casapulla
22,Festa padronale
22,Mercato settimanale di caserta
22,Notte bianca a caserta
22,
23,Festa padronale
23,Sagra degli asparagi
23,Mercatino settimanale
24,Festa padronale
24,Festa dei fiori di zucca
24,Gara del solco
24,Mercatino settimanale
25,Festa padronale
25,Mercatino settimanale
26,Campagna amica
26,I buoni prodotti della terra
26,Festa padronale
27,Rava di prata
27,Festa padronale
27,Mercatino settimanale
28,Festa padronale
28,Mercatino settimanale
29,La domenica del villaggio
29,Festa padronale
29,Mercatino settimanale
30,Naples free morning tour
30,Mercatino settimanale
30,Festa padronale
31,Sagra della birra
31,Mercatino settimanale
31,Festa padronale
32,Mercato americano
32,Festa padronale
33,Festa del patrono
34,Festa di san ferdinando
35,Sagra dei guanti
36,Festa di santo stefano
37,Festa di santa cristina e san prisco
38,Festa di santa maria delle grazie
39,Festa dei santi nazario e celso
40,Festa di sant'antonio
41,Sagra della castagna
41,Festa dell'uva
41,Festa di sant'antonio
42,Festa di santa lucia
42,Festa patronale
42,Festa della madonna delle grazie
42,Pellegrinaggio in onore di santo salvatore
42,"Biennale internazionale di poesia e narrativa ""giano vetusto"
43,Sagra degli antichi sapori
43,Maratona del matesannio
43,Una giornata al castello
44,Festa di san giovanni battista
45,Festa di sant'andrea
46,Festa di san giovanni battista
47,Sagra di liberi
48,Festa di san luciano
49,Festa di san martino
49,Festa di sant'antuono
50,Festa di san michele arcangelo
51,Sagra della rana
52,Festa di san giacomo
52,Festa di sant'antonio
53,Festa di sant'antonio di padova
53,Inno al novello
54,Festa di s. michele arcangelo
54,Festa della madonna incaldana
54,Martedì in albis
54,Festa della madonna assunta
54,Festa di s. antonio
54,Festa di s. giuseppe artigiano
54,Festa di s. giustino
54,Fiera di s. bartolomeo
55,Festa di san massimo
56,Festa di san pietro apostolo
57,Festa madonna del carmelo
58,Festa di san rocco
59,Festa patronale di san marcellino
59,Fiera di san bartolomeo
59,Fiera di san martino
60,Festa di san rocco
61,Festa di sant'eraclio
62,Festa di san giorgio martire
63,Festa maria santissima dell'orazione
64,Festa di san pietro martire
65,Festa di san biagio e fiera locale
65,Festa di san pancrazio
65,Festa di sant'agostino
65,Festa di san francesco
66,Festa di san nicola
67,Festa di san nicola di bari
68,Festa di san michele arcangelo
69,Festa di sant'antimo
70,Festa della madonna della stella
70,Festa di s.antonio abate
71,Sagra del maialino
71,Sagra degli gnocchi
71,Festa di san rocco
71,Festa santa maria la nova
72,Sagra della castagna e del fungo porcino
73,Sagra dei “tagliariegli e ciceri”
73,Nel mese di agosto
73,Sagra degli “gnocchi al tegamino”
73,Nel mese di luglio
74,Rocchetta wine fest
75,Festa dei cornuti
75,Sagra della pizza fritta
76,Sagra del pesce
77,Sagra della nocciola
77,Sagra della porchetta
78,Festività di san michele arcangelo
78,Festa della madonna immacolata
78,Festività di san gregorio magno
79,Sagra delle noci e del vino asprino
80,Truck in sud lo show dei motori
80,Fiera agricola
81,Festa di san nicola
81,Carnevale
81,Festa dela madonna
82,
83,Mostra scambio
83,Mercatino di natale
83,Fatefestival
83,Fatecinema
84,Mercato settimanle di san prisco
85,Il regno di giustopeso
86,
87,
88,Teatro garibaldi di santa maria capua vetere
88,Motoraduno regionale
88,Appia felix
89,Mercato settimanale di santa maria a vico
90,Mercato settimanale di santa maria la fossa
91,Festa popolare della tammorra
91,Mercato settimanale
91,
92,Mostra d'arte presepiale
92,I riti della settimana santa a sessa aurunca
92,Festa popolare della tammorra
92,Natale al castello
92,Sessa jazz
93,Mercato della settimana
94,Cioccolateano
94,Presepe vivente di teano
94,Raduno di auto e moto d'epoca di teano
94,Sagra dello gnocco ai funghi porcini
94,Mercato settimanale di teano
95,Mercato settimanale di teverola
95,Pizza festival
95,Presepio di pasqua
96,Bruciam la vecchia
96,Assedio alla torre normanna
96,Capodanno al borgo
96,Carnevale a tora e piccilli
97,Festa del maiale
97,Mercato settimanale di trentola-ducenna
97,Sagra salsicce friarielli e vino asprino
98,
99,Mercato settimanae di valle agricola
100,Sagra delle mele
101,Sagra dei prodotti tipici
101,Carnevale
101,Mercato settimanale di villa viterbo
102,Mercato settimanale di villa di brianzo
102,Sagra della teglia
102,Sagra delle pettole
102,Presepe vivente
103,
