commune_id,codice_postal,superficie,latitude,longitude
0,81010,16.06,41.391429534088815,14.204374825393511
1,81011,64.32,41.327418653185774,14.333546882337696
2,81012,38.13,41.24948598913294,14.33261406695148
3,81021,14.01,41.02166701507623,14.49955044461556
4,81031,8.85,40.97314297157902,14.207191321232848
5,81010,24.43,41.30047307014125,14.25510365475598
6,81041,11.78,41.162520990622106,14.234610631808046
7,81059,15.68,41.29424703687482,14.080884933477904
8,81013,37.04,41.17868502475367,14.366123883457975
9,81042,15.96,41.2154056275576,14.127077823020368
10,81050,6.02,41.18167165388312,14.2095555258904
11,81030,49.3,41.07384355060874,14.025800150132447
12,81020,3.46,41.04382587151511,14.300485146936747
13,81014,18.39,41.46807128524077,14.145917192162475
14,81043,48.6,41.106020535495766,14.212978292245898
15,81032,6.3,40.988943480218126,14.21675852954316
16,81030,59.23,41.18877930950893,13.977015094127983
17,81022,6.36,41.0787516291305,14.309440620833175
18,81033,23.4,41.0071742891893,14.130614463276858
19,81030,9.4,41.00054200243791,14.197661967986448
20,81030,3.05,40.99173783048646,14.13621304353788
21,81020,2.9,41.076444855521984,14.287860569142516
22,81100,54.07,41.071956309748,14.331304375950188
23,81010,17.5,41.18153157766395,14.452312572777185
24,81020,25.34,41.12158851146168,14.35145187225141
25,81030,73.95,41.03872209892696,13.940120661288937
26,81040,20.3,41.18316497723734,14.288780034108848
27,81016,21.5,41.368736566936,14.375228486473844
28,81030,36.79,41.20511604635565,13.853547368878669
29,81020,8.0,41.041367213376446,14.43525228468736
30,81030,2.8,40.96249983804715,14.230648809748976
31,81010,28.65,41.4503601325578,14.159639413607984
32,81044,26.6,41.331070793496,13.990519846921186
33,81040,1.69,41.0757329032096,14.277340207936003
34,81010,25.78,41.27396136787053,14.308108707940407
35,81030,46.72,41.16427,13.951038
36,81010,9.71,41.45781361855435,14.182720553970205
37,81040,15.68,41.21125061014055,14.23330106137306
38,81050,40.93,40.99397982666672,14.177746023283673
39,81030,9.86,40.99397982666672,14.177746023283673
40,81010,31.13,41.4725995073823,14.212792025174071
41,81044,32.11,41.341522,13.93598
42,81042,10.93,41.20314072765815,14.19298569530925
43,81010,54.42,41.30055901702882,14.444488815343266
44,81046,47.05,41.09159399423552,14.10442286931347
45,81030,9.98,40.98061404815872,14.227237861320155
46,81010,31.59,41.45269482446505,14.248631936612751
47,81040,17.59,41.24235539299995,14.262533370176536
48,81030,4.56,40.97090966790504,14.192398053970203
49,81047,7.63,41.06378276353005,14.274306653970202
50,81024,36.67,41.037701932751865,14.380925459522178
51,81025,30.21,41.03613609151088,14.299489299999998
52,81035,28.3,41.31652301031265,14.0389902
53,81049,53.1,41.405616263053005,13.983165830690522
54,81034,55.72,41.11517463631352,13.88827916138104
55,81030,10.83,40.96644982702427,14.268299815343266
56,81030,5.7,40.955987648780514,14.1639545555906
57,81050,13.8,41.18322606426602,14.200902069313468
58,81015,23.5,41.16951712906419,14.334878140253904
59,81016,41.3,41.356614790033206,14.374610242110448
60,81051,23.9,41.265241,14.175781
61,81040,33.23,41.329640116192,14.16280388540264
62,81052,31.7,41.18957637744257,14.171331855597757
63,81049,30.4,41.19394822522774,14.249780268323748
64,81050,1.91,41.0562004552428,14.280476784429508
65,81010,21.21,41.42752020198007,14.199875120275296
66,81010,33.74,41.405410580930976,14.178244124918008
67,81050,31.89,41.37526384444866,14.073662599379954
68,81017,24.64,41.370644742379646,14.242724009573644
69,81020,3.22,41.05718460172637,14.302770613265343
70,81053,16.48,41.26253354067841,14.152000013271724
71,81040,49.54,41.3947501002482,13.896550869433227
72,81035,31.04,41.28819389735326,13.981744984774869
73,81051,27.71,41.27371291877334,14.221580187581054
74,81042,13.01,41.23743956120196,14.15748528570962
75,81010,24.15,41.21007771999652,14.409275655974565
76,81036,6.2,41.00114936387569,14.131872569423267
77,81027,27.0,41.0119639888117,14.480934082916974
78,81010,56.51,41.38562016982812,14.374654371284826
79,81030,4.61,40.98743244189137,14.173657155932355
80,81020,5.7,41.037806099701605,14.343162982917669
81,81020,4.71,41.05451681706245,14.331399698261835
82,81049,13.72,41.44589930920186,13.959713426282535
83,81016,23.13,41.33738932028171,14.392425374194293
84,81054,7.79,41.08568537171214,14.277782613606467
85,81050,36.97,41.07600658429443,14.230360311754378
86,81017,33.52,41.36268609763159,14.259695158674877
87,81030,3.2,40.9575919100078,14.251976742439735
88,81055,15.92,41.07776873039376,14.26040038477035
89,81028,10.84,41.02717276805205,14.465443800113192
90,81050,29.73,41.093312120536666,14.131103083222314
91,81037,162.18,41.23813672761151,13.9340659803973
92,81056,18.77,41.19038681138475,14.096253098264851
93,81030,7.21,40.96549621008256,14.253423771275887
94,81057,89.43,41.25160490917296,14.067022974878473
95,81030,6.7,40.99351270156071,14.20774796714752
96,81044,12.39,41.3377857742454,14.021308625394934
97,81038,6.66,40.97628409847156,14.17705909111704
98,81058,43.52,41.33320159078112,14.131634253365192
99,81010,24.42,41.424634874705,14.255378654089965
100,81020,10.9,41.07838261701822,14.415263427098406
101,81039,61.83,41.00633989152334,14.07738495336519
102,81030,8.55,40.99843988070817,14.16846872664911
103,81041,22.97,41.16426348734957,14.2189603694283
