commune_id,nome_degli_abitanti
0,Ailanesi
1,Alifani
2,Alvignanesi
3,Arienzani
4,Aversani
5,Baiardi (per i residenti a baia) e latinesi(per i residenti a latina)
6,Bellonesi
7,Caianellesi
8,Caiatini
9,Caleni
10,Camiglianesi
11,Cancellesi o arnonesi
12,Capodrisani
13,Capriatesi
14,Capuani
15,Carinaresi
16,Carinolesi
17,Casagiovesi
18,Casalesi
19,Casalucesi
20,Casapesennesi
21,Casapullesi
22,Casertani
23,Castel campagnesi
24,Morronesi
25,Castellani
26,Sassesi
27,Castellani
28,Cellolesi
29,Cervinesi
30,Cesani
31,Ciorlanesi
32,Concanesi
33,Curtesi
34,Dragonesi
35,Falcianesi
36,Fontegregani
37,Formicolani
38,Francolisani
39,Frignanesi
40,Gallesi
41,Gallucciani
42,Gianesi
43,Gioiesi
44,Grazzanisani
45,Gricignanesi
46,Letinesi
47,Liberini
48,Luscianesi
49,Maceratesi
50,Maddalonesi
51,Marcianisani
52,Marzanesi
53,Mignanesi
54,Mondragonesi
55,Ortesi
56,Paretani
57,Pastoranesi
58,Pianesi
59,Piemontesi
60,Pietramelaresi
61,Pietravairanesi
62,Pignataresi
63,Latonesi
64,Portichesi
65,Pratesi
66,Pratellesi
67,Presenzanesi
68,Raviscaninesi
69,Recalesi
70,Riardesi
71,Roccavandresi
72,Roccani
73,Roccaromanesi
74,Rocchettani
75,Ruvianesi
76,Sanciprianesi
77,Sanfeliciani
78,Sarrocchi-sarrocci
79,Sammarcellinesi
80,Sanmarchesi
81,Sannicolesi
82,Sanpietresi
83,Potitesi
84,Sanprischesi
85,Tammaresi
86,Santangiolesi
87,Santarpinesi
88,Sammaritani-mariani
89,Sammaritani
90,Fossatari
91,Sessani
92,Sparanisani
93,Succivesi
94,Teanesi
95,Teverolesi
96,Torani-piccilesi
97,Trentolesi-ducentesi
98,Vairanesi
99,Valligiani
100,Vallesi
101,Liternesi-vicaioli
102,Brianesi
103,Vitulatini
