commune_id,nome
0,Ailano
1,Alife
2,Alvignano
3,Arienzo
4,Aversa
5,Baia e Latina
6,Bellona
7,Caianiello
8,Caiazzo
9,Calvi Risorta
10,Camigliano
11,Cancello ed Arnone
12,Capodrise
13,Capriati a Volturno
14,Capua
15,Carinaro
16,Carinola
17,Casagiove
18,Casal di Principe
19,Casaluce
20,Casapesenna
21,Casapulla
22,Caserta
23,Castel Campagnano
24,Castel Morrone
25,Castel Volturno
26,Castel di Sasso
27,Castello del Matese
28,Cellole
29,Cervino
30,Cesa
31,Ciorlano
32,Conca della Campania
33,Curti
34,Dragoni
35,Falciano del Massimo
36,Fontegreca
37,Formicola
38,Francolise
39,Frignano
40,Gallo Matese
41,Galluccio
42,Giano Vetusto
43,Gioia Sannitica
44,Grazzanise
45,Gricignano di Aversa
46,Letino
47,Liberi
48,Lusciano
49,Macerata Campania
50,Maddaloni
51,Marcianise
52,Marzano Appio
53,Mignano Monte Lungo
54,Mondragone
55,Orta di Atella
56,Parete
57,Pastorano
58,Piana di Monte Verna
59,Piedimonte Matese
60,Pietramelara
61,Pietravairano
62,Pignataro Maggiore
63,Pontelatone
64,Portico di Caserta
65,Prata Sannita
66,Pratella
67,Presenzano
68,Raviscanina
69,Recale
70,Riardo
71,Rocca d'Evandro
72,Roccamonfina
73,Roccaromana
74,Rocchetta e Croce
75,Ruviano
76,San Cipriano d'Aversa
77,San Felice a Cancello
78,San Gregorio Matese
79,San Marcellino
80,San Marco Evangelista
81,San Nicola la Strada
82,San Pietro Infine
83,San Potito Sannitico
84,San Prisco
85,San Tammaro
86,Sant'Angelo d'Alife
87,Sant'Arpino
88,Santa Maria Capua Vetere
89,Santa Maria a Vico
90,Santa Maria la Fossa
91,Sessa Aurunca
92,Sparanise
93,Succivo
94,Teano
95,Teverola
96,Tora e Piccilli
97,Trentola-Ducenta
98,Vairano Patenora
99,Valle Agricola
100,Valle di Maddaloni
101,Villa Literno
102,Villa di Briano
103,Vitulazio
