commune_id,percorso
0,Mtb: ailano
0,Selvapiana
0,Camporuccio
0,Valle agricola
0,Ponte volturno - presenzano
0,A spasso x montecappello
0,Aliano
1,Serie f alife telese via faicchio
1,Alife - castello d'alife matese
1,Alife - san gregorio matese matese alife km50
1,Alife monte stufo via bianca con michele pece
1,Alife raviscanina sant'angelo d'alife piedimonte castello del matese km46
1,Serie e alife telese via volturno.gpx
1,Alife pratella ailano raviscanina sant'angelo d'alife sangregorio matese alife km71
1,Alife castello del matese sangregorio matese alife km40
1,Alife raviscanina sant'angelo d'alife piedimonte san pasquale alife km45
1,Tappa 14 - da alife a faicchio
1,Matese extra
1,Mik più franco stella
1,Alife ferrovia - ponte volturno
1,Tappa 14 - da alife a faiccalife
1,Alife - sparanise
1,Alife - piedimonte d'alife
1,Alife - letino
1,Tappa-09 alife-telese 2018
1,Alife
2,Alvignano
2,Alvignano-giusti
2,Alvignano telese
2,Mik e sarracino
2,Alvignano gravel
2,Alvignano - torrione - paradiso
2,Alvignano- liberi
2,Alvignano - grotta san michele - antenne di liberi - alvignano
3,Giro del caserta
3,M.stella maiuri
3,Castello di arienzo san felice
3,Arienzo castello
3,Arienzo - santa maria a vico
3,Santa maria a vico benevento
3,Arienzo
3,Smvico
3,Castellago01
3,S.michele a palombara - traforo s. felice
3,Arienzo - arienzo
4,Aversa
4,Aversa - ponte mezzotta
5,
6,
7,Roccamonfina
7,Roccamonfina- sessa aurunca -teano- marzano appio il lungo
7,Roccamonfina vulcano
7,Caianello
7,Corsa start and stop con cane
7,Squat e asparagi
7,Roccamonfina-sessa aurunca -teano- caianello
8,Cameralonga - caiazzo
8,Caiazzo
8,Bar- studio marcucci
8,Caiazzo-rom
9,Calvi risorta - san secondino
9,Calvi risorta - capua
9,Calvi- ps2- ps1
9,Vulcano
9,Rocchetta - calvi
9,Calvi risorta - visciano
9,Croce da formicola
10,
11,
12,Capodrise - capodrise
12,Capodrise- marcianise
13,Monte caselle ianniti da capriati al volturno
13,Capriati a volturno - santojanni
14,Via francigena da napoli a roma (2 tappa): da capua a minturno
14,Capua - pallamaggio-castelmorrone-caserta
14,Turno 137 linea 6 capua - giano vetusto
14,Risalita alla diga e ritorno
14,Capua-castelmorrone
14,Capua - napoli
14,Capua - santa maria capua vetere
14,Capua - roccaromana linea 17 prima parte
14,Capua - castel volturno 165 andata
14,Line 6 turno 137 capua - giano vetusto
14,Capua - pignataro - roccaromana
14,Capua - parco dei salici
14,Capua aversa
14,Capua - formicola
15,Carinaro - casapuzzano
16,Carinola - sant'angelo
17,Casagiove - manzoni
17,Casagiove
17,Cervino
17,Sant'agata de goti
17,Frasso telesino
17,Guardia san fromonte
17,Cerreto sannita
17,Piedimonte matese
17,Caiazzo
18,
19,
20,
21,Casapulla -grumo nevano
21,Casapulla - via villarella
21,Casapulla - curti
21,Casapulla - capua
21,Casapulla caserta
21,A piedimonte matese
22,San leucio - canaloni - comola grande - caserta vecchia - san leucio
22,San leucio - canaloni - comola grande - san leucio
22,Caserta - 'all mountain soul tour'
22,Caserta tour del mirto
22,
22,Casino vecchio - casotto leonetti
22,Traversata integrale dei colli tifatini
22,San michele
22,Acquedotto
22,Via casolla
22,Fonte linara
22,Caserta vecchia
22,San leucio - bosco san silvestro e gradoni
22,Valle di maddaloni
22,Caserta vecchia
22,Limatola
22,San leucio - sant'angelo in formis
23,Casagiove - caiazzo - san giovanni e paolo -castel campagnano - limatola - casagiove
24,Le comole
24,Per monte castello
24,Monte castellone
24,Castel morrone
24,Castel morrone - annunziata
24,Trail castelmorrone
24,Docktrack
24,Castelo morrone - gradillo
24,Castel morrone - limatola
25,Castel volturno - capua
25,Castel volturno - mazzafarro
25,Castel volturno osa oasi dei variconi pineta grande di castel volturno villaggio coppola
25,
26,Castel di sasso - trembula beliensis
26,
27,Anello piedimonte matese-s.pasquale-sentiero dei monaci con deviazione per cascata di malopasso
27,Anello piedimonte matese - valle dell'inferno - passo del prete morto - san gregorio m. - castello d/m. - piedimonte m
27,Piedimonte san pasquale sentiero olmeto scorpeto
27,Piedimonte matese - monte muto
27,Giro ad anelo piedimonte san pasquale grassete valle orsara castello
28,In giro tra mari e fiumi
29,Sentieri conducono a torgnon
29,A chamois e a la magdeleine
29,
30,Informazione assente
31,Ciorlano - vallelunga - capriati
31,Parco eolico ciorlano
31,Colle la croce - colle perlato
32,Conca
32,Cascata di conca della campania
32,
33,Il leggio
33,Monti picentini
33,Grotta dello scalandrone
33,Monte acellica
34,
35,Monte massico
35,Lago di falciano
36,La cipresseta di fontegreca
