commune_id,patrono
0,San Giovanni Apostolo ed Evangelista
1,San Sisto I Papa
2,San Ferdinando d'Aragona
3,Sant'Andrea Apostolo
4,San Paolo
5,San Vito e San Lorenzo
6,San Secondino Vescovo e Confessore
7,San Michele Arcangelo
8,Santo Stefano Minicillo
9,San Casto
10,San Simeone Profeta
11,Francesco d'Assisi
11,Santo Stefano
12,Sant'Andrea Apostolo
13,San Nicola di Bari
13,San Rocco di Montpellier
14,Sant'Agata e Santo Stefano
15,Sant'Eufemia
16,San Bernardo di Capua
17,San Michele
18,Santa Maria SS Preziosa
19,Santa Madonna di Casaluce
20,Sant'Elena
21,Sant'Elpidio
22,San Sebastiano
22,Sant'Anna
23,Santa Madonna della Neve
24,Santa Maria della Misericordia
25,San Castrese
26,San Biagio di Sestabase
27,Sant'Antonio da Padova
28,Santa Maria di Costantinopoli
29,San Vincenzo Ferreri
30,San Cesario di Terracina
31,San Nicola di Bari
32,San Sebastiano
33,San Michele Arcangelo
34,San Ferdinando d'Aragona
35,San Rocco
35,San Martino di Tours
35,San Pietro Apostolo
36,Santo Stefano
37,Santa Cristina
38,Santa Maria delle Grazie
39,Santi Nazario e Celso
40,Sant'Antonio da Padova
41,Sant'Antonio Abate
42,Sant'Antonio da Padova
43,San Michele Arcangelo
44,San Giovanni Battista
45,Sant'Andrea Apostolo
46,San Giovanni Battista
47,Sant'Alfonso
48,San Luciano di Antiochia
49,San Martino
50,San Michele Arcangelo
51,San Michele Arcangelo
52,Sant'Antonio da Padova
53,Sant'Antonio da Padova
54,Madonna Incaldana
55,San Massimo
56,San Pietro Apostolo
57,Maria SS. del Monte Carmelo
58,San Rocco di Montpellier
59,San Marcellino
60,San Rocco
61,Sant'Eraclio
62,San Giorgio Martire
63,Maria santissima dell'Orazione
64,San Pietro Martire
65,San Pancrazio
66,San Nicola
67,San Nicola di Bari
68,San Michele Arcangelo
69,Sant'Antimo
70,Sant'Antonio Abate
71,San Rocco
72,Sant'Antonio
73,San Cataldo
74,San Vito
75,San Leone
76,Santi Cipriano e Giustina
77,San Felice
78,San Gregorio Magno
79,San Marcellino
80,San Marco
81,San Nicola di Bari
82,Maria Santissima dell'Acqua
83,San Potito
84,San Prisco
84,Santa Matrona
85,San Tammaro
86,San Michele Arcangelo
87,Sant'Elpidio Vescovo
88,San Simmaco
88,Beata Vergine Maria Assunta
89,San Nicola di Bari
90,San Restituto
91,San Leone
92,San Vitaliano
93,Gesù Trasfigurato
94,San Paride e Santa Reparata
95,San Giovanni Evangelista
96,San Simeone
97,San Michele Arcangelo
98,San Bartolomeo
99,San Rocco
100,San Pancrazio
101,San Tammaro
102,Santissima Maria Assunta
103,Maria SS. dell’Agnena
