commune_id,numero_di_frazioni,numero_di_punti_di_interesse
0,4,3.0
1,2,20.0
2,2,8.0
3,4,4.0
4,1,11.0
5,10,9.0
6,1,10.0
7,9,5.0
8,2,4.0
9,4,7.0
10,2,5.0
11,0,5.0
12,0,
13,0,5.0
14,1,17.0
15,0,2.0
16,3,9.0
17,0,5.0
18,0,3.0
19,3,5.0
20,0,1.0
21,1,3.0
22,23,13.0
23,1,2.0
24,6,9.0
25,10,52.0
26,3,7.0
27,0,6.0
28,4,30.0
29,9,10.0
30,0,4.0
31,1,4.0
32,9,2.0
33,0,5.0
34,1,6.0
35,0,5.0
36,0,1.0
37,0,7.0
38,3,4.0
39,0,4.0
40,1,7.0
41,6,10.0
42,1,4.0
43,7,11.0
44,3,6.0
45,0,1.0
46,0,3.0
47,6,1.0
48,0,7.0
49,2,3.0
50,10,10.0
51,0,22.0
52,14,4.0
53,3,7.0
54,2,17.0
55,1,8.0
56,0,7.0
57,3,3.0
58,1,2.0
59,2,30.0
60,2,6.0
61,2,2.0
62,2,2.0
63,5,1.0
64,1,2.0
65,9,13.0
66,2,3.0
67,2,5.0
68,2,5.0
69,1,3.0
70,0,4.0
71,8,7.0
72,16,5.0
73,2,1.0
74,3,6.0
75,1,4.0
76,5,0.0
77,12,3.0
78,0,7.0
79,0,6.0
80,0,5.0
81,0,8.0
82,2,5.0
83,0,2.0
84,0,8.0
85,1,2.0
86,0,9.0
87,0,9.0
88,1,59.0
89,0,12.0
90,1,3.0
91,32,19.0
92,0,1.0
93,0,5.0
94,24,21.0
95,0,9.0
96,0,5.0
97,0,6.0
98,2,12.0
99,0,3.0
100,0,8.0
101,6,6.0
102,0,2.0
103,0,7.0
