commune_id,numero_di_abitanti,sindaco
0,2768,Massimiliano Cuozzo
1,21607,Adamo Coppola
2,6397,Rosolino Bagini
3,978,Elena Anna Gerardo
4,7094,Antonio Marra
5,5088,Daniele Milano
6,37023,Cosimo Ferraioli
7,1418,Antonio Marino
8,5867,Pietro D'Angiolillo
9,2374,Luigi Vertucci
10,862,Luciano De Rosa Laderchi
11,2304,Pietro Pessolano
12,17060,Gianfranco Valiante
13,50780,Cecilia Francese
14,13620,Domenico Volpe
15,778,Giuseppe Parente
16,5524,Antonio Rescigno
17,5555,Nicola Parisi
18,2554,Giancarlo Guercio
19,2702,Modesto Lamattina
20,1453,Francesco Gismondi
21,7099,Mario Salvatore Scarpitta
22,16886,Roberto Monaco
23,417,Antonio Morrone
24,1043,Toribio Tangredi
25,22835,Francesco Alfieri
26,5258,Silvia Pisapia
27,1176,Carmine Adinolfi
28,1331,Concetta Amato
29,1895,Maurizio Tancredi
30,13721,Paola Lanzara
31,2428,Giuseppe Scorza
32,1556,Antonio Forziati
33,9225,Costabile spinelli
34,2841,Eros Lamaida
35,607,Michele Iannuzzelli
36,1323,Generoso Matteo Bottigliero
37,50840,Vincenzo Servalli
38,1895,Gino Marotta
39,5072,Carmelo Stanziola
40,2282,Gennaro Maione
41,2105,Fortunato Della Monica
42,1202,Gerardo Antelmo
43,3521,Adriano Goffredo
44,671,Gaetano Frate
45,868,Ettore Poti
46,3255,Graziano Lardo
47,1806,Pietro Pentangelo
48,591,Antonio Sicilia
49,571,Aldo Luongo
50,38525,Antonio De Lesu
51,1242,Carmine Casella
52,13942,Vincenzo Sessa
53,731,Raffaele Ferraioli
54,1122,Aniello Caputo
55,5024,Francesco Munno
56,11768,Antonio Giuliano
57,1180,Maria Teresa Scarpa
58,1300,Giuseppe Orlotti
59,1019,Francesco Giudice
60,1189,Angelo Serra
61,1372,Romano Gregorio
62,745,Vincenzo Speranza
63,1385,Oscar Imbriaco
64,1027,Luigi Guerra
65,635,Carmine D'Alessandro
66,5588,Antonio Capone
67,22183,Antonio Somma
68,2652,Andrea Reale
69,1871,Enrico Gnarra
70,1902,Luciano Trivelli
71,1501,Raffaele Accetta
72,2631,Pierpaolo Piccirilli
73,11076,Alessandro Chiola
74,12657,Martino D'onofrio
75,528,Antonio Manzi
76,6653,Giuseppe Rinaldi
77,611,Vincenzina Prota
78,45952,Manilo Torquato
79,24260,Giovanni Maria Cuofano
80,2325,Adriano De Vita
81,2261,Michele Apolito
82,6680,Michele Volzone
83,3692,Carmine Pignata
84,1650,Raffaele Mondelli
85,1010,Mauro Inverso
86,648,Elio Guadagno
87,5255,Paolo Imparato
88,35312,Raffaele Maria De Prisco
89,3854,Mariano Casciano
90,11116,Francesco Morra
91,1772,Vincenzo Paolillo
92,870,Carlo Cirillo
93,664,Domenico Barba
94,1074,Domenico D'Amato
95,1208,Guglielmo Vairo
96,2536,Ettore Liguori
97,5273,Massimo Loviso
98,2268,Stefano Pisani
99,26245,Giuseppe Lanzara
100,3831,Giuseppe Guida
101,2033,Mario Pepe
102,2026,Giovanni Di Martino
103,1035,Giovanni Cantalupo
104,2490,Salvatore Di Martino
105,1135,Giuseppe Picciuoli
106,7190,Gabriele Iuliano
107,1175,Giuseppe Baldi
108,9067,Carmine Pagano
109,1549,Nicola Cammarano
110,376,Giuliana Colucci
111,806,Pino Palmieri
112,832,Giuseppe Rotolo
113,452,Franco Latempa
114,12057,Francesco Cavallone
115,1909,De Marco Gabriele
116,130555,Vincenzo Napoli
117,504,Maria Antonietta Scelza
118,4996,Sonia Alfano
119,3734,Ferdinando Palazzo
120,4248,Nicola Padula
121,2661,Francesco Di Giacomo
122,10475,Carmela Zuottolo
123,878,Giuseppe Cilento
124,587,Francesco Scarabino
125,1681,Domenico Quaranta
126,1722,Michele Marmo
127,10991,Michele Strianese
128,545,Gaspare Salamone
129,2744,Donato Pica
130,8797,Antonio La Mura
131,3193,Giovanni Fortunato
132,425,Giovanni Venutolo
133,2747,Vittorio Esposito
134,6570,Antonio Gentile
135,30838,Giuseppe Canfora
136,4799,Domenico Rubino
137,49236,Cristoforo Salvati
138,1535,Luigi Mansi
139,291,Anna Acquaviva Materazzi
140,3857,Franco Mennella
141,1244,Giovanni Chirico
142,9563,Giorgio Marchese
143,3239,Giacomo Orco
144,686,Francesco Massanova
145,793,Natalio Barbato
146,7554,Michele Di Candia
147,1839,Massimo Farro
148,1226,Francesco Bianco
149,2073,Pietro Vicino
150,498,Luigi Sampogna
151,4125,Domenico Amatruda
152,1588,Rosario Carione
153,224,Salvatore Angelo Lannuzzi
154,8866,Antonio Aloia
155,1604,Vito Falcone
156,3257,Francesco Brusco
157,7505,Giovanni De Simone
