commune_id,numero_di_aziende,numero_di_scuole
0,243.0,5.0
1,,24.0
2,410.0,10.0
3,50.0,3.0
4,5.0,5.0
5,15.0,3.0
6,40.0,8.0
7,,3.0
8,10.0,1.0
9,51.0,6.0
10,50.0,9.0
11,12.0,3.0
12,53.0,21.0
13,105.0,43.0
14,22.0,9.0
15,,
16,5.0,8.0
17,3.0,2.0
18,4.0,3.0
19,2.0,4.0
20,1.0,3.0
21,,
22,30.0,27.0
23,4.0,11.0
24,9.0,6.0
25,11.0,20.0
26,51.0,10.0
27,13.0,11.0
28,52.0,9.0
29,50.0,9.0
30,51.0,16.0
31,40.0,3.0
32,263.0,15.0
33,48.0,14.0
34,40.0,9.0
35,2.0,1.0
36,5.0,3.0
37,8.0,10.0
38,3.0,2.0
39,4.0,2.0
40,30.0,7.0
41,53.0,3.0
42,1.0,12.0
43,19.0,8.0
44,50.0,2.0
45,27.0,2.0
46,1.0,9.0
47,3.0,3.0
48,1.0,1.0
49,1.0,2.0
50,46.0,43.0
51,,3.0
52,50.0,16.0
53,30.0,9.0
54,1.0,2.0
55,30.0,7.0
56,14.0,13.0
57,31.0,6.0
58,30.0,3.0
59,11.0,1.0
60,50.0,2.0
61,50.0,5.0
62,45.0,3.0
63,55.0,3.0
64,38.0,13.0
65,36.0,2.0
66,20.0,10.0
67,30.0,20.0
68,,19.0
69,33.0,16.0
70,50.0,18.0
71,55.0,1.0
72,60.0,17.0
73,9.0,14.0
74,9.0,10.0
75,6.0,10.0
76,5.0,13.0
77,9.0,9.0
78,11.0,16.0
79,4.0,7.0
80,,4.0
81,,0.0
82,,10.0
83,,3.0
84,,2.0
85,,0.0
86,,1.0
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,1.0,2.0
96,,2.0
97,2.0,7.0
98,,1.0
99,3.0,4.0
100,1.0,1.0
101,,0.0
102,,12.0
103,2.0,4.0
104,,8.0
105,,14.0
106,4.0,4.0
107,3.0,9.0
108,7.0,16.0
109,2.0,1.0
110,,
111,2.0,4.0
112,50.0,12.0
113,,13.0
114,32.0,26.0
115,87.0,
116,105.0,168.0
117,19.0,7.0
118,7.0,21.0
119,6.0,3.0
120,7.0,4.0
121,,3.0
122,,4.0
123,,2.0
124,,2.0
125,,2.0
126,,4.0
127,,7.0
128,,1.0
129,,8.0
130,,3.0
131,,4.0
132,,1.0
133,,4.0
134,,13.0
135,,15.0
136,,8.0
137,,14.0
138,,3.0
139,,0.0
140,,5.0
141,7.0,3.0
142,,9.0
143,32.0,7.0
144,,3.0
145,6.0,3.0
146,,15.0
147,21.0,3.0
148,,2.0
149,5.0,5.0
150,,2.0
151,9.0,5.0
152,,3.0
153,,0.0
154,,8.0
155,,3.0
156,,4.0
157,,11.0
