commune_id,event
0,Festa della montagna. sagra della castagna. la festa di san donado. festa della fragolata
1,Festa patronale
2,Festa comunale
2,Sagre
3,Festa comunale
4,Festa patronale
5,Il capodanno bizantino
5,Giornata dell'unità e delle forze armate
6,Festa patronale
7,Festa di san lucido
8,Festa patronale
9,Festa san giuseppe
10,
11,Festa della madonna della pace
11,Festa del carciofo bianco
11,Festa del fiume
11,Festa della vita
12,Accensione del fantoccio di carnevale
12,Sfilata dei carri allegorici
12,Festa patronale
13,Il gusto incontra l'arte e la moda
13,Naso di legno
14,Sagra della braciola
14,Carnevale irpino
15,
16,Raduno di auto e moto d'epoca
16,Festa patronale di san giovanni battista
16,Sagra del mallone
16,Sagra d’o’ mascuotto
17,Festa patronale
18,Festa patronale
19,Festa patronale
20,Sagra della castagna
20,Mercatini dell'usato
21,Festa patronale di san domenico di guzman
21,Meeting del mare
22,I fucanoli
23,Madonna della neve
23,Festa di san nicola di bari
24,Fiera della frecagnola
25,Sagra del carciofo
26,Festa della cipolla di vatolla
26,Panza e danza
26,Sagra del cavatiello
26,Sagra dei fiuriddi e ruspitieddi
27,Sagra ri fasul
27,Sagra del cinghiale
28,Festa di natale
29,Festa di san michele
29,Fiera di settembre
29,Festa dell'epifania
30,Sette diversi tipi di sagre
31,Sagra dello scazzatiello castellese
32,Sagra della castagna sicignano degli alburni
33,Sagra del pescato di paranza
33,Carnevale a castellabate
34,Varie mostre d'arte ogni anno
35,Festa patronale
36,Festa patronale
37,Festa patronale
37,Festa dell'autunno
38,Festa dello sport
38,Festa dell'emigrante
38,Festa dell'aria
38,Tra borgo e monte
38,Sagra della salsiccia
38,Il castagno e le castagne
39,Festa patronale
39,Sagra della patata
40,Mercato settimanale-concerti-spettacoli teatrali e festa del grano
41,Benedizione del mare del santo patroni-processione di san francesco
42,Festa di s. giorgio-spetttacoli
42,Concerti
43,Festa di leone iv
44,Festa di san giovanni e di sant'antonio
45,Sagra del fagiolo
46,Sagra del cavatiello e della capra
46,Sagra della lagana
46,Festa della pizza e della mozzarella
47,Festa sant erasmo
47,Tradizionale calata dell'angelo
47,Festa patronale san bartolomeo
48,Festa del caciocavallo
