commune_id,epoca_di_fondazione,secolo_di_fondazione,anno_di_fondazione,etimologia_del_nome,storia
0,Medievale,XI,1027.0,Al di là delle spiegazioni dotte ed erudite l'etimologia più sicura è quella che fa derivare Acerno da una pianta – l'acero – che in quelle montagne alligna con facilità,"Acerno è stata sede vescovile sin dall'XI secolo. La diocesi era tra le più povere e piccole del Regno di Napoli, comprendendo oltre ad Acerno il solo territorio di Montecorvino Rovella. Pertanto, Papa Pio VII, con Bolla del 27/06/1818, assegna alla diocesi di Salerno l'amministrazione della Chiesa Vescovile di Acerno."
1,Medievale,XV,1436.0,"In passato era chiamata Acropoli, dal latino acropolis, a sua volta risalente dal greco akropolis, con il significato di ""città alta"", in riferimento alla sua posizione geografica. Con il tempo divenne Agropoli perché forse il nome fu contaminato dal latino ager (campo).","Agropoli deriva il proprio nome dalla posizione geografica, una “città alta” su un promontorio a picco sul mare. Secondo alcuni archeologi potrebbe essere l'antica acropoli di Paestum,difatti si ipotizza la presenza di un tempio dedicato a Poseidone. In età romana sul litorale dell'attuale S."
2,Medievale,XI,1100.0,"albanèlla s. f. [prob. der. del lat. mediev. albanus «uccello da preda», che a sua volta è prob. un der. del lat. albus «bianco»]. – Nome di alcuni uccelli del genere Circus, che abitano i luoghi paludosi, cibandosi di piccoli mammiferi e uccelli. In Italia vivono quattro specie, di cui la più comune è l’a. mezzana, o falco di palude (Circus aeruginosus), con piumaggio di colore molto variabile; più rare l’a. pallida (Circus macrourus), l’a. reale (Circus cyaneus) e l’a. minore (Circus pygargus).","Le origini di Albanella si fanno risalire al IX secolo d.C. allorché alcuni profughi di Paestum, in seguito alle incursioni saracene, cercarono, risalendo le colline, insediamenti più sicuri."
3,Medievale,XIV,1309.0,"Il nome deriverebbe dal gentilizio Alfius. Probabilmente è collegato col toponimo Alfeiòs, Αλφειός in greco antico.","Di origine medievale, è documentato per la prima volta nel 1309. Dopo essere stato feudo dei Sanseverino e in seguito proprietà del demanio regio, nel 1427 venne assegnato come baronia a Cirello Dal Verme, nel 1496 fu assegnato al conte Giovanni Carafa, ma torno ai Dal Verme. Nel 1561 Muzio Dal Verme denunziò la morte del padre che aveva Alfano in feudo. Nel 1566 G. Battista Carrofa, conte di Policastro, rinunziò alla lite mossa contro di lui da Muzio Del Verme, circa la giurisdizione di Alfano che venne confermata ai Dal Verme. Nel 1588 Alfano fu acquistata da Paolo Brancaccio. Dal 1619 il feudo passò ai Bernalla che lo possedettero quasi ininterrottamente fino al XVIII secolo.[3]"
4,Medievale,XI,1080.0,Il toponimo è rievocato dal nome della frazione Borgo Carillia,"Avendo preso parte alla congiura dei baroni contro Federico II di Svevia, la città fu rasa al suolo nel 1246. La breccia nelle mura fu aperta in una località ancora nota al giorno d'oggi come ""muro rutto"", situato in via Portanova."
5,Romana,I,,"Il luogo prende il nome dalla ninfa Amalfi, amata da Ercole, sepolta in questa terra per volontà degli dei","La leggenda narra che Amalfi fosse una fanciulla amata da Ercole, poi sepolta in questi luoghi per volere degli Dei. I Romani vi si rifugiarono con molta probabilità a causa delle invasioni germaniche e longobarde, e la cittadina venne utilizzata come roccaforte difensiva del Ducato bizantino di Napoli."
6,Medievale,VII,,"Significato del toponimo Angri, ha origine dalle caratteristiche ""geomorfiche"" del sito. Il nome deriverebbe dal latino tardo Angra, che significa acqua appantanata.","Angri cominciò a svilupparsi nel secolo VII d.C.come Casale della Contea di Nocera; in seguito crescendo la sua consistenza territoriale ed economica, fu dato in feudo ai vari signori"
7,Romana,II,150.0,"Il suo nome deriverebbe dall'abbondanza di acqua del suo territorio, caratteristica riportata anche sullo stemma del comune","Aquara ha origini che risalgono all'epoca greca, precisamente intorno agli anni fra il 150 e il 132 a.C. Non si esclude che il territorio di Aquara fosse già conosciuto dai Greci di Poseidonia e dai Romani."
8,Medievale,XIII,1277.0,"L'origine del nome di questa cittadina è ricco di poesia; pare che Ascea derivi dal greco a-skaidon, ovvero luogo privo di ombre, ricco di luce","Abitata fin dal Neolitico l'antica città greca di Elea era una colonia greca dei Focei, fondata nel 540 a. C., per sfuggire al dominio persiano; inoltre il popolo autoctono che abitava quei luoghi, gli Enotri, coltivatori della vite, trovò molte affinità con i nuovi venuti e su quella fratellanza sorta spontaneamente crebbe lo spirito del popolo che ancora oggi abita la nuova Elea."
9,Medievale,VIII,700.0,"Il nome pare derivare da un pre-latino *ater-, nero, forse dal fiume che scorreva nella città, analogamente ad altri centri italici quali Aterno, Atri, Atessa, eccetera","È uno tra gli insediamenti più antichi del Vallo di Diano situato sul suo versante occidentale, a ridosso della catena della Maddalena. La sua posizione predominante nella vallata ne fa uno dei centri panoramici di maggior interesse del luogo."
