commune_id,month,day
0,Agosto,7.0
1,Giugno,29.0
2,Maggio,15.0
3,Dicembre,6.0
4,Settembre,1.0
5,Giugno,27.0
6,Giugno,24.0
7,Luglio,28.0
8,Dicembre,6.0
9,Febbraio,3.0
10,Luglio,22.0
11,Agosto,17.0
12,Ottobre,4.0
13,,
14,Giugno,27.0
15,Settembre,29.0
16,Giugno,24.0
17,,
18,Luglio,20.0
19,Giugno,13.0
20,Settembre,29.0
21,Agosto,4.0
22,Febbraio,14.0
23,Dicembre,6.0
24,Marzo,23.0
25,Giugno,15.0
26,Febbraio,3.0
27,Gennaio,3.0
28,Maggio,13.0
29,Maggio,8.0
30,Agosto,16.0
31,Giugno,24.0
32,Giugno,3.0
33,Febbraio,17.0
34,Luglio,22.0
35,Dicembre,6.0
36,Settembre,29.0
37,Settembre,8.0
38,Agosto,5.0
39,Maggio,15.0
40,Dicembre,6.0
41,Giugno,29.0
42,Aprile,23.0
43,Aprile,19.0
44,Giugno,13.0
45,Agosto,7.0
46,Agosto,7.0
47,Agosto,24.0
48,Luglio,10.0
49,Giugno,29.0
50,Giugno,15.0
51,Giugno,15.0
52,Aprile,5.0
53,Maggio,17.0
54,Aprile,25.0
55,Novembre,10.0
56,Marzo,25.0
57,,
58,Agosto,15.0
59,Dicembre,6.0
60,Giugno,3.0
61,Maggio,22.0
62,Maggio,12.0
63,Maggio,17.0
64,Luglio,2.0
65,,
66,Agosto,15.0
67,Agosto,16.0
68,Novembre,5.0
69,Luglio,26.0
70,Gennaio,20.0
71,Luglio,25.0
72,Febbraio,3.0
73,Giugno,13.0
74,Giugno,29.0
75,Agosto,7.0
76,Dicembre,6.0
77,Agosto,26.0
78,Maggio,9.0
79,Gennaio,31.0
80,Dicembre,6.0
81,Aprile,26.0
82,Maggio,8.0
83,Maggio,24.0
84,,
85,,
86,Febbraio,3.0
87,Settembre,29.0
88,Agosto,1.0
89,Febbraio,3.0
90,Novembre,23.0
91,,
92,,
93,Marzo,21.0
94,Agosto,2.0
95,Dicembre,6.0
96,Settembre,30.0
97,Dicembre,6.0
98,Dicembre,6.0
99,Marzo,21.0
100,Giugno,15.0
101,Aprile,23.0
102,Marzo,25.0
103,Dicembre,6.0
104,Luglio,27.0
105,Luglio,25.0
106,Luglio,18.0
107,Giugno,24.0
108,Giugno,24.0
109,Settembre,8.0
110,,
111,Dicembre,6.0
112,Maggio,9.0
113,Dicembre,31.0
114,Maggio,8.0
115,,
116,Settembre,21.0
117,Gennaio,20.0
118,Settembre,16.0
119,,
120,Settenbre,3.0
121,Agosto,19.0
122,Febbraio,3.0
123,Luglio,11.0
124,Settembre,16.0
125,Giugno,29.0
126,Agosto,27.0
127,Febbraio,14.0
128,Maggio,8.0
129,Luglio,19.0
130,Dicembre,6.0
131,Giugno,18.0
132,,
133,Agosto,5.0
134,Giugno,15.0
135,Maggio,8.0
136,Giugno,24.0
137,,
138,Agosto,10.0
139,Maggio,3.0
140,Novembre,11.0
141,Agosto,3.0
142,Agosto,16.0
143,Agosto,16.0
144,,
145,Maggio,17.0
146,Giugno,3.0
147,Agosto,6.0
148,Giugno,29.0
149,Agosto,10.0
150,Giugno,15.0
151,Giugno,13.0
152,Ottobre,16.0
153,Febbraio,19.0
154,Luglio,27.0
155,Settembre,29.0
156,Gennaio,17.0
157,Giugno,24.0
