commune_id,nome_degli_abitanti
0,Acernesi
1,Agropolesi
2,Albanellesi
3,Alfanesi
4,Altavillesi
5,Amalfitani
6,Angresi
7,Aquaresi
8,Asceoti
9,Atinati
9,Atenesi
10,Atranesi
11,Aulettesi
12,Baronissesi
13,Battipagliesi
14,Bellizzesi
15,Bellosguardesi
16,Braciglianesi
17,Buccinesi
17,Volceiani
18,Buonabitacolesi
19,Caggianesi
20,Cravagnuoli
20,Calvanicesi
21,Camerotani
21,Lentiscosani
21,Cusitani
21,Marinari
22,Campagnesi
23,Camporesi
24,Cannalonghesi
25,Capaccesi
26,Casalvelinesi
26,Casalicchiari
27,Casalbuonesi
28,Casalettani
29,Casellesi
30,Sangiorgesi
31,Castellesi
32,Castelcivitesi
33,Castellabatesi
33,Castellani
34,Castelnuovesi
35,Castelnovesi
35,Castelnuovesi
36,Castiglionesi
37,Cavesi
38,Cellesi
39,Cantolesi
40,Cerasuoli
41,Cetaresi
42,Ciceralesi
43,Collianesi
44,Conchesi
45,Contronesi
46,Contursani
47,Corbaresi
48,Corletani
49,Cuccaresi
50,Ebolitani
50,Eburini
51,Fellittesi
52,Fiscianesi
53,Furoresi
54,Futanari
55,Giffonesi
56,Giffonesi
57,Gioiesi
58,Giugnanesi
59,Ispanoti
60,Laureanesi
61,Laurinesi
62,Lauritani
63,Lavianesi
64,Lustresi
65,Maglianesi
66,Maioresi
67,Sanseverinesi
68,Minoresi
69,Moiesi
70,Montanesi
71,Sangiacomesi
72,Montecoricesi
73,Puglianesi
74,Montecorvinesi
75,Montefortesi
76,Montesanesi
77,Morigeratesi
78,Nocerini
79,Nocerini
80,Novesi
81,Ogliastresi
82,Olevanesi
83,Olivetani
84,Omignanesi
85,Orriesi
86,Ottatesi
87,Padulesi
88,Paganesi
89,Palomontesi
90,Pellezzanesi
91,Perdifumesi
92,Peritesi
93,Pertosani
94,Petinesi
95,Piagginesi o chianari
96,Pisciottani
97,Pollesi
98,Pollichesi
99,Pontecagnanesi
100,Positanesi
101,Postiglionesi
102,Praianesi
103,Prignanesi
104,Ravellesi
105,Riciglianesi
106,Rocchesi
107,Rocchetani
107,Rocchesani
107,Roccaglorensi
108,Rocchesi
109,Abbenante
109,Cerreto
109,Fornillo
109,Pozzillo borsito
109,Provitera
109,San leo
109,San menale
109,Tressanti
109,Treppaoli
110,Romagnanesi
111,Roscignoli
112,Rutinesi
113,Sacchesi
113,Saccatari
114,Salesi
115,Salentini
116,Salernitani
117,Salvitellesi
118,Sanciprianesi
119,Sangiovannesi
120,Gregoriani
121,Sanmanghesi
122,Marzanesi
122,Sammarzanesi
123,Sanmauresi
124,Sanmauresi
124,Sannazzaresi
125,Sampetresi
126,Sanrufesi
127,Valentinesi
128,Santangiolesi
129,Santarsenesi
130,Sant'egidiani
130,Sangiliani
131,Sammaritani
131,Mariani
132,Sammennesi
133,Sanzesi
134,Sapresi
135,Sarnesi
136,Sassanesi
137,Scafatesi
138,Salesi
139,Serramezzanesi
140,Serresi
141,Sessesi
142,Sianesi
143,Sicignanesi
144,Stellani
145,Stiesi
146,Teggianesi
147,Torchiaresi
148,Torrachesi
149,Torresi
149,Ursentini
150,Tortorellesi
151,Tramontani
152,Trentinaresi
153,Casalettari
153,Vallangiolesi
154,Vallesi
155,Valvesi
156,Vibonatesi
157,Vietresi
