commune_id,nome
0,Acerno
1,Agropoli
2,Albanella
3,Alfano
4,Altavilla Silentina
5,Amalfi
6,Angri
7,Aquara
8,Ascea
9,Atena Lucana
10,Atrani
11,Auletta
12,Baronissi
13,Battipaglia
14,Bellizzi
15,Bellosguardo
16,Bracigliano
17,Buccino
18,Buonabitacolo
19,Caggiano
20,Calvanico
21,Camerota
22,Campagna
23,Campora
24,Cannalonga
25,Capaccio Paestum
26,Casal Velino
27,Casalbuono
28,Casaletto Spartano
29,Caselle in Pittari
30,Castel San Giorgio
31,Castel San Lorenzo
32,Castelcivita
33,Castellabate
34,Castelnuovo Cilento
35,Castelnuovo di Conza
36,Castiglione del Genovesi
37,Cava de' Tirreni
38,Celle di Bulgheria
39,Centola
40,Ceraso
41,Cetara
42,Cicerale
43,Colliano
44,Conca dei Marini
45,Controne
46,Contursi Terme
47,Corbara
48,Corleto Monforte
49,Cuccaro Vetere
50,Eboli
51,Felitto
52,Fisciano
53,Furore
54,Futani
55,Giffoni Sei Casali
56,Giffoni Valle Piana
57,Gioi
58,Giungano
59,Ispani
60,Laureana Cilento
61,Laurino
62,Laurito
63,Laviano
64,Lustra
65,Magliano Vetere
66,Maiori
67,Mercato San Severino
68,Minori
69,Moio della Civitella
70,Montano Antilia
71,Monte San Giacomo
72,Montecorice
73,Montecorvino Pugliano
74,Montecorvino Rovella
75,Monteforte Cilento
76,Montesano sulla Marcellana
77,Morigerati
78,Nocera Inferiore
79,Nocera Superiore
80,Novi Velia
81,Ogliastro Cilento
82,Olevano sul Tusciano
83,Oliveto Citra
84,Omignano
85,Orria
86,Ottati
87,Padula
88,Pagani
89,Palomonte
90,Pellezzano
91,Perdifumo
92,Perito
93,Pertosa
94,Petina
95,Piaggine
96,Pisciotta
97,Polla
98,Pollica
99,Pontecagnano Faiano
100,Positano
101,Postiglione
102,Praiano
103,Prignano Cilento
104,Ravello
105,Ricigliano
106,Roccadaspide
107,Roccagloriosa
108,Roccapiemonte
109,Rofrano
110,Romagnano al Monte
111,Roscigno
112,Rutino
113,Sacco
114,Sala Consilina
115,Salento
116,Salerno
117,Salvitelle
118,San Cipriano Picentino
119,San Giovanni a Piro
120,San Gregorio Magno
121,San Mango Piemonte
122,San Marzano sul Sarno
123,San Mauro Cilento
124,San Mauro La Bruca
125,San Pietro al Tanagro
126,San Rufo
127,San Valentino Torio
128,Sant'Angelo a Fasanella
129,Sant'Arsenio
130,Sant'Egidio del Monte Albino
131,Santa Marina
132,Santomenna
133,Sanza
134,Sapri
135,Sarno
136,Sassano
137,Scafati
138,Scala
139,Serramezzana
140,Serre
141,Sessa Cilento
142,Siano
143,Sicignano degli Alburni
144,Stella Cilento
145,Stio
146,Teggiano
147,Torchiara
148,Torraca
149,Torre Orsaia
150,Tortorella
151,Tramonti
152,Trentinara
153,Valle dell'Angelo
154,Vallo della Lucania
155,Valva
156,Vibonati
157,Vietri sul Mare
