commune_id,percorso
0,Mountain bike. escursionismo. trail running. passeggiata
1,Mountain bike
1,Escursionismo
1,Bici da strada
1,Corsa
1,Trail running
1,Ciclismo
1,Kayak
2,Mountain bike
2,Escursionismo
2,Bici da strada
2,Corsa
2,Trail running
2,Ciclismo
2,Kayak
3,
4,
5,
6,
7,Percorsi di corsa-percorsi di camminata
8,
9,
10,
11,
12,Calvanico- pizzo san michele-sanmichele di basso baronissi
13,
14,I sentieri dei briganti
14,La falconara il giro
15,Bellosguardo - porcellino
15,Cavriglia
16,Bracigliano - mercato san severino
16,Bracigliano piesco
17,
18,
19,
20,Monti picentini
20,Calvanico monte mai
20,Capo calvanico
20,Pizzo san michele
20,Monte faiostello
21,Trekking: marina di camerota la costa
21,Marina di camerota porto infreschi
21,Cilento national park
21,Spiaggia lentiscelle
21,Passeggiata da fenosa alla calanca
21,Cala bianca
21,Porto infreschi
21,Residence la barca
21,Villaggio la siesta marina di camerota
21,Passeggiata delle 4 spiagge
22,Trekking: anello delle 7 fontane (caposele)
22,Ravello
22,Amalfi
22,Valle delle ferriere
22,Punta campanella
22,Path of the gods sentiero degli dei bomerano
22,Path of the gods - sentiero degli dei
22,Maiori minori ravello atrani amalfi
22,Scala
22,Minuta
22,Pontone
22,Valle delle ferriere amalfi
22,Monte vesuvio (1.281m) da ottaviano
23,Trekking: laurino. scanno del tesoro. (cilento)
23,Sentiero vallelunga località vesalo
23,Anello di campora
24,Trekking: cannalonga frurion civitella (cilento)
24,Pruno di laurino
24,Passo alfa - cugnolo dell' orco - crepaboi
24,'il sentiero del maestro'
25,Trekking: capaccio scalo
25,Percorso fiume calore
26,Marina di casal velino-santa barbara-ascea
26,Marina di casal velino - foce
26,Chiesa parrocchiale di s. matteo to 84070 rutino sa
26,Marina di casal velino
26,Marina di casal velino
27,Trekking: percorso naturalistico ippovia
27,Cerreta
28,Cammino di san nilo
28,Sentiero di collegamento
28,Oasi capelli di venere sorgente
29,Percorsi di escursionismo e percorsi con le bici
30,I migliori percorsi sono in mountain bike e sono circa 10
31,
32,Grotte
33,Sentiero di punta licosa
34,Via silente
35,Via michelin
36,Via casa della calce
37,Valle mediterranea
38,Monte bulgheria
39,Grotte marine
40,3 percorsi ciclabili e 2 montuosi
41,17 percorsi trekking
41,2 da corsa
41,1 per mountain bike
42,2 percorsi trekking
42,1 automobilistico
42,1 motociclistico
43,5 percorsi mountain bike
43,1 ciclabile
43,2 trekking
44,13 percorsi trekking
44,1 motociclistico
44,2 da corsa
44,6 ciclisti
44,1 via mare
45,
46,
47,
48,
49,
50,Ermice - percorso dei mulini - san donato
51,Le gole del calore
52,Pizzo san michele a fisciano: tracking e piste ciclabili
53,Sentiero pennino
53,Dalla grotta del biscotto
53,Monte dei tre calli
54,Futani- san menale (cilento)
54,Futani- acqua delle cionche
55,Scorcio mediavale a sieti
56,Croci di acerno
56,Croci di filetta
57,Villagio dei mulini
57,Ponte ferrara
58,Pista ciclabile del lungolago lago patria di giugliano
59,Antico sentiero per capitello
60,
61,Percorsi naturalistici lungo le sponde del fiume calore
62,4 percorsi naturalistici all'aria aperta e nei borghi
63,Percorsi di trekking
63,Tour delle cave
63,Castelli e ponti tibetani anche in zone limitrofe
64,11 percorsi e itinerari
64,Percorribili anche con la bicicletta
64,Parco nazionale del cilento
64,
65,Castello magliano nuovo
65,Gole del calore
65,Cilento in volo
65,Museo paleontologico
65,Oasi fiume alento
65,Grotta del santuario di s. michele arcangelo
66,Lungo mare di maiori
66,Sentiero dei limoni
67,16 percorsi mountain bike
67,6 percorsi trekking
68,16 trekking
68,2 canoa
68,2 mountain bike
69,5 trekking
70,7 trekking
70,1 mountain bike
71,24 trekking
72,
73,5 percorsi mountain bike 1 percorso trekking
74,23 percorsi mountain bike
75,
76,1mountain bike
76,1 trekking
77,21 percorsi trekking
77,1 percorso ciclabile
78,18 mountain bike 4 trekking
79,
80,Monte gebilson
81,0
82,Grotta di san michele arcangelo
83,0
84,0
85,Sentiero della croce
85,Orria stio
86,Rifugio panormo
86,Cannalonga
87,Rifugio della fiumata
88,0
89,Valle del tanagro
90,Parco fluviale dell'irno
91,Parco nazionale del cilento
91,Vallo di diano e alburni
92,
93,Grotte
94,Monti alburni
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,
105,
106,
107,
108,
109,2
110,
111,0
112,Nelle valli dei briganti. rutino stella. maratona rutino
113,Gole del sammaro
113,Sacco vecchio
113,Monte motola
113,Monte vivo
114,Grande anello alto
114,Grande anello superiore
114,Bike in tour-halloweel
114,Monte vergine
114,Sentiero fassati
115,Laghi alimini
115,Sentiero vecchio del ciolo
115,Bosco di tricase
115,
115,Porto selvaggio
115,La mandra
115,Parco del rauccio
116,Duomo di salerno
116,Catello arechi
116,Complesso di santa sofia
116,Lungomare di salerno
117,Monte san giocomo
117,Fiume tanagro
117,Valle del fiume bianco
118,Frassineto
118,Pastini
118,Fuorni
118,Prepezzano
118,Antessano
118,Terravecchia
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
