commune_id,patrono
0,San Donato d'Arezzo
1,Santi Pietro e Paolo
2,Santa Sofia
2,San Matteo
3,San Nicola
3,Sant'Antonio
4,Sant'Egidio abate
5,Sant'Andrea
6,San Giovanni
7,San Lucio di Aquara
8,San Nicola di Bari
9,San Biagio di Sebaste
10,Santa Maria Maddalena
11,San Donato
12,San Francesco D'assisi
13,Santa Maria della speranza
14,Sacro cuore di Gesù
15,San Michele Arcangelo
16,San Giovanni Battista
17,Madonna dell' Immacolata
18,Sant'Elia
19,Sant'Antonio
20,San Michele
21,San Domenico di Guzman
22,Sant'Antonino di Sorrento
23,San Nicola di Bari
24,San Turibio de Mogrovejo
25,San Vito
26,San Biagio di Sebaste
27,Sant'Antero
28,San Nicola di Bari
29,San Michele
30,San Rocco
31,San Giovanni Battista
32,San Cono il Taumaturgo
32,San Nicola di Bari
33,San Costabile Gentilcore
34,Santa Maria Maddalena
35,San Nicola
36,San Michele Arcangelo
37,Santa Maria Incoronata dell'Olmo
38,Madonna della Neve
39,Sant'Apollonio
40,San Nicola di Bari
41,San Pietro
42,San Giorgio
43,San Leone IV
44,Sant'Antonio di Padova
44,San Giovanni Battista
45,San Donato
45,San Nicola di Bari
46,San Donato
47,San Bartolomeo
48,Santa Barbara
49,San Pietro
50,San Vito
51,San Vito
52,Santo Vincenzo Ferreri
53,San Pasquale Bylon
54,San Marco Evangelista
54,Sant'Anna
55,San Martino
56,Santa Maria Annunziata
57,Madonna del Rosario
58,Santa Maria Assunta
59,San Nicola di Bari
60,San Cono
61,Sant'Elena
62,San Filippo d'Agira
63,San Pasquale Baylon
64,Santa Maria delle Grazie
65,Santa Lucia
66,Santa Maria a Mare
67,San Rocco
68,Santa Trofimena
69,Santa Veneranda
69,San Bartolomeo
70,San Sebestiano
70,San Montano
70,Sant'Irene
71,San Giacomo  Maggiore
71,Sant'Anna
72,San Biagio
73,San Bernardino da Siena
74,Santi Pietro e Paolo
75,San Donato
76,San Nicola
77,San Demetrio di Tessalonica
78,San Prisco
79,San Ciro
80,San Nicola
81,Madre del Buon Consiglio
82,San Michele Arcangelo
83,San Macario Abate
84,Madonna del Rosario
84,San Nicola di Bari
85,San Felice di Nola
86,San Biagio
87,San Michele Arcangelo
88,Sant'Alfonso Maria de' Liguori
89,San Biagio
90,San Clemente I papa
90,Sant'Anna
91,Madonna del Rosario
91,San Giacomo
92,San Nicola
93,San Benedetto da Norcia
93,San Vittorio di Cesarea
94,Sant'Onofrio Eremita
95,San Nicola di Bari
95,Santa Filomena
96,San Vito
97,San Nicola
98,San Nicola di Bari
99,San Benedetto
100,San Vito
100,Madonna Assunta
101,San Giorgio martire
101,San Nicola di Bari
102,San Gennaro
102,San Luca
103,San Nicola di Bari
104,San Pantaleone Di Nicomedia
105,San Cristoforo
106,Sinforosa Di Tivoli
107,San Giovanni Battista
108,San Giovanni Battista
109,Madonna Di Grottaferrata
110,Madonna Del Carmine
111,San Nicola
112,San Michele Arcangelo
113,San Silvestro
114,San Michele Arcangelo
115,Santa Barbara
116,San Matteo
117,San Sebastiano e Madonna di Contursi
118,San Cipriano
119,Madonna di Pietrasanta
120,San Gregorio Magno
121,San Magno Martire
122,San Biagio
123,San Mauro
124,Sant'Eufemia di Calcedonia
125,San Pietro
126,Madonna del Rosario
127,San Valentino
128,San Michele Arcangelo
129,Sant'Arsenio il Grande
130,San Nicola
131,Santa Marina
132,San Menna martire
133,Santa Maria della Neve e San Sabino martire
134,San Vito martire
135,San Michele Arcangelo
136,San Giovanni Battista
137,Santa Maria della Vergine
138,San Lorenzo
139,San Filippo apostolo
140,San Martino
141,Santo Stefano
142,San Rocco
143,San Rocco
144,San Nicola di Bari
145,San Pasquale
146,San Cono da Teggiano
147,Santissimo Salvatore
148,San Pietro Apostolo
148,Maria SS dei Cordici
149,San Lorenzo
150,San Vito
151,Sant'Antonio
152,Santa Irene di Tessalonica
153,San Barbato
154,San Pantaleone
155,San Michele
156,Sant'Antonio Abate
157,San Giovanni Battista
