commune_id,numero_di_frazioni,numero_di_punti_di_interesse
0,1,6.0
1,20,
2,8,18.0
3,0,6.0
4,4,
5,3,5.0
6,0,5.0
7,1,
8,17,5.0
9,3,5.0
10,0,2.0
11,2,
12,4,87.0
13,11,204.0
14,7,41.0
15,0,
16,2,15.0
17,5,5.0
18,0,3.0
19,6,4.0
20,1,5.0
21,3,
22,15,62.0
23,0,17.0
24,0,16.0
25,14,39.0
26,5,62.0
27,1,26.0
28,2,7.0
29,0,
30,17,4.0
31,0,3.0
32,2,15.0
33,11,
34,2,
35,2,3.0
36,2,4.0
37,18,18.0
38,1,6.0
39,4,7.0
40,4,3.0
41,1,10.0
42,1,10.0
43,10,10.0
44,1,16.0
45,0,1.0
46,8,0.0
47,2,2.0
48,1,
49,0,
50,4,1.0
51,0,1.0
52,11,39.0
53,3,4.0
54,2,1.0
55,5,1.0
56,15,14.0
57,1,13.0
58,2,8.0
59,2,10.0
60,4,5.0
61,2,7.0
62,0,
63,1,3.0
64,4,1.0
65,3,8.0
66,4,3.0
67,23,7.0
68,3,5.0
69,1,2.0
70,2,3.0
71,0,6.0
72,6,2.0
73,4,3.0
74,8,27.0
75,0,
76,6,16.0
77,1,4.0
78,8,74.0
79,17,8.0
80,0,4.0
81,2,2.0
82,3,23.0
83,4,7.0
84,4,
85,2,
86,2,13.0
87,6,27.0
88,0,37.0
89,3,9.0
90,4,
91,4,17.0
92,2,
93,2,6.0
94,0,6.0
95,0,
96,2,10.0
97,4,6.0
98,5,3.0
99,5,9.0
100,2,8.0
101,6,6.0
102,2,
103,2,5.0
104,9,16.0
105,0,1.0
106,5,
107,1,4.0
108,2,
109,9,3.0
110,2,
111,0,
112,1,10.0
113,0,2.0
114,12,34.0
115,5,15.0
116,8,15.0
117,6,8.0
118,4,4.0
119,2,
120,2,
121,7,
122,0,
123,3,
124,1,
125,3,
126,1,
127,2,
128,0,
129,1,
130,2,
131,3,
132,0,
133,2,
134,1,
135,2,
136,5,
137,5,
138,4,
139,2,
140,2,
141,5,
142,0,
143,2,
144,6,
145,0,
146,4,
147,5,
148,0,4.0
149,0,7.0
150,1,3.0
151,13,18.0
152,0,
153,1,
154,3,
155,3,
156,1,
157,6,
